x[nm]                 E_13[eV]              Psi^2_13_so2[nm^-1/2]
7.1142317671146       3.0911484520154       3.0911495580117
7.260978922993        3.0911484520154       3.0914629438956
7.4003918486039       3.0911484520154       3.0913387299058
7.532837099151        3.0911484520154       3.0913402301109
7.6586629098899       3.0911484520154       3.0913349721053
7.7782001117354       3.0911484520154       3.0913353459705
7.891763001107        3.0911484520154       3.0913389703718
7.9996501663019       3.0911484520154       3.0913453479925
8.1021452725658       3.0911484520154       3.0913541115611
8.1995178079279       3.0911484520154       3.0913650207266
8.2920237917592       3.0911484520154       3.0913779038781
8.3799064479186       3.0911484520154       3.0913926245625
8.4633968442558       3.0911484520154       3.0914090442921
8.5427145001525       3.0911484520154       3.0914269182264
8.6180679636999       3.0911484520154       3.0914454958577
8.6896553600291       3.0911484520154       3.0914661314579
8.7576649122373       3.0911484520154       3.0914864016008
8.8222754362784       3.0911484520154       3.0915047658322
8.8836568111193       3.0911484520154       3.0915208110127
8.9419704253995       3.0911484520154       3.0915343837797
8.9973696017656       3.0911484520154       3.0915454299634
9.05                  3.0911484520154       3.0915539571769
9.1                   3.0911484520154       3.0915600235202
9.15                  3.0911484520154       3.0915638663256
9.2                   3.0911484520154       3.0915652590646
9.25                  3.0911484520154       3.0915640050855
9.3                   3.0911484520154       3.091559957415
9.35                  3.0911484520154       3.0915530437617
9.4                   3.0911484520154       3.0915432968836
9.45                  3.0911484520154       3.0915308902106
9.5                   3.0911484520154       3.0915161783726
9.55                  3.0911484520154       3.091499742366
9.6                   3.0911484520154       3.0914824402204
9.65                  3.0911484520154       3.0914634903595
9.7                   3.0911484520154       3.091442255863
9.75                  3.0911484520154       3.0914198078128
9.8                   3.0911484520154       3.0913968793104
9.85                  3.0911484520154       3.0913739754472
9.9                   3.0911484520154       3.0913514494312
9.95                  3.0911484520154       3.0913295540438
10                    3.0911484520154       3.0913084758311
10.05                 3.0911484520154       3.0912883575195
10.1                  3.0911484520154       3.0912693125307
10.15                 3.0911484520154       3.0912514342664
10.2                  3.0911484520154       3.0912348019617
10.25                 3.0911484520154       3.0912194843099
10.3                  3.0911484520154       3.0912055416534
10.35                 3.0911484520154       3.0911930272613
10.4                  3.0911484520154       3.091181988034
10.45                 3.0911484520154       3.0911724648554
10.5                  3.0911484520154       3.0911644927341
10.55                 3.0911484520154       3.0911581008255
10.6                  3.0911484520154       3.0911533123901
10.65                 3.0911484520154       3.0911501447279
10.7                  3.0911484520154       3.0911486091068
10.75                 3.0911484520154       3.0911487107031
10.8                  3.0911484520154       3.0911504485584
10.85                 3.0911484520154       3.0911538155602
10.9                  3.0911484520154       3.0911587984469
10.95                 3.0911484520154       3.0911653778392
11                    3.0911484520154       3.0911735282977
11.05                 3.0911484520154       3.0911832184066
11.1                  3.0911484520154       3.0911944108826
11.15                 3.0911484520154       3.091207062709
11.2                  3.0911484520154       3.0912211252931
11.25                 3.0911484520154       3.0912365446474
11.3                  3.0911484520154       3.0912532615917
11.35                 3.0911484520154       3.0912712119771
11.4                  3.0911484520154       3.0912903269292
11.45                 3.0911484520154       3.0913105331104
11.5                  3.0911484520154       3.0913317529999
11.55                 3.0911484520154       3.0913539051901
11.6                  3.0911484520154       3.0913769046974
11.65                 3.0911484520154       3.0914006632887
11.7                  3.0911484520154       3.0914250898187
11.75                 3.0911484520154       3.0914500905795
11.8                  3.0911484520154       3.0914755696601
11.85                 3.0911484520154       3.0915014293142
11.9                  3.0911484520154       3.0915275703348
11.95                 3.0911484520154       3.0915538924353
12                    3.0911484520154       3.0915802946338
12.05                 3.0911484520154       3.0916066756409
12.1                  3.0911484520154       3.0916329342478
12.15                 3.0911484520154       3.0916589697153
12.2                  3.0911484520154       3.0916846821596
12.25                 3.0911484520154       3.0917099729363
12.3                  3.0911484520154       3.0917347450181
12.35                 3.0911484520154       3.0917589033676
12.4                  3.0911484520154       3.0917823553017
12.45                 3.0911484520154       3.0918050108474
12.5                  3.0911484520154       3.0918267830867
12.55                 3.0911484520154       3.0918475884905
12.6                  3.0911484520154       3.0918673472384
12.65                 3.0911484520154       3.0918859835258
12.7                  3.0911484520154       3.091903425854
12.75                 3.0911484520154       3.0919196073048
12.8                  3.0911484520154       3.0919344657971
12.85                 3.0911484520154       3.0919479443254
12.9                  3.0911484520154       3.0919599911779
12.95                 3.0911484520154       3.0919705601354
13                    3.0911484520154       3.0919796106482
13.05                 3.0911484520154       3.0919871079916
13.1                  3.0911484520154       3.0919930233995
13.15                 3.0911484520154       3.0919973341741
13.2                  3.0911484520154       3.0920000237732
13.25                 3.0911484520154       3.0920010818733
13.3                  3.0911484520154       3.0920005044094
13.35                 3.0911484520154       3.0919982935898
13.4                  3.0911484520154       3.091994457888
13.45                 3.0911484520154       3.0919890120096
13.5                  3.0911484520154       3.0919819768355
13.55                 3.0911484520154       3.0919733793414
13.6                  3.0911484520154       3.0919632524938
13.65                 3.0911484520154       3.0919516351232
13.7                  3.0911484520154       3.091938571774
13.75                 3.0911484520154       3.0919241125332
13.8                  3.0911484520154       3.0919083128369
13.85                 3.0911484520154       3.0918912332572
13.9                  3.0911484520154       3.0918729392677
13.95                 3.0911484520154       3.0918535009917
14                    3.0911484520154       3.0918329929311
14.05                 3.0911484520154       3.091811493679
14.1                  3.0911484520154       3.0917890856161
14.15                 3.0911484520154       3.0917658545926
14.2                  3.0911484520154       3.0917418895969
14.25                 3.0911484520154       3.0917172824114
14.3                  3.0911484520154       3.0916921272591
14.35                 3.0911484520154       3.0916665204397
14.4                  3.0911484520154       3.09164055996
14.45                 3.0911484520154       3.0916143451575
14.5                  3.0911484520154       3.0915879763217
14.55                 3.0911484520154       3.0915615543145
14.6                  3.0911484520154       3.0915351801924
14.65                 3.0911484520154       3.0915089548339
14.7                  3.0911484520154       3.091482978576
14.75                 3.0911484520154       3.091457350865
14.8                  3.0911484520154       3.0914321699251
14.85                 3.0911484520154       3.0914075324539
14.9                  3.0911484520154       3.0913835333492
14.95                 3.0911484520154       3.0913602654782
15                    3.0911484520154       3.0913378194946
15.05                 3.0911484520154       3.0913162837133
15.1                  3.0911484520154       3.0912957440452
15.15                 3.0911484520154       3.0912762839878
15.2                  3.0911484520154       3.0912579846526
