k_per_nm,integration_weight_nm_minus2
0,0
0.0023154768301333001,1.7065971123779976e-06
0.0046309536602667,3.4131942247560684e-06
0.0069464304904000001,5.1197913371339548e-06
0.0092619073205332993,6.8263884495125035e-06
0.011577384150666999,8.532985561890356e-06
0.0138928609808,1.0239582674266586e-05
0.016208337810933001,1.1946179786646684e-05
0.018523814641067001,1.3652776899025297e-05
0.020839291471199999,1.535937401139987e-05
0.023154768301332999,1.7065971123781081e-05
0.025470245131466999,1.8772568236159707e-05
0.0277857219616,2.0479165348533173e-05
0.030101198791733001,2.2185762460915478e-05
0.032416675621867001,2.3892359573294104e-05
0.034732152452000002,2.5598956685666469e-05
0.037047629282133003,2.7305553798049879e-05
0.039363106112267003,2.9012150910428464e-05
0.041678582942399997,3.0718748022799714e-05
0.043994059772532998,3.2425345135184276e-05
0.046309536602666998,3.4131942247562901e-05
0.048625013432799999,3.5838539359933057e-05
0.050940490262933,3.7545136472318676e-05
0.053255967093067,3.9251733584697295e-05
0.055571443923200001,4.0958330697066346e-05
0.057886920753333002,4.2664927809453076e-05
0.060202397583467002,4.4371524921831702e-05
0.062517874413600003,4.6078122034199648e-05
0.064833351243733003,4.778471914658747e-05
0.067148828073867003,4.9491316258966096e-05
0.069464304904000004,5.1197913371332937e-05
0.071779781734133005,5.2904510483721877e-05
0.074095258564267005,5.4611107596100503e-05
0.076410735394400006,5.6317704708466064e-05
0.078726212224532993,5.8024301820856087e-05
0.081041689054666993,5.9730898933234889e-05
0.083357165884799994,6.1437496045599522e-05
0.085672642714932995,6.3144093157990671e-05
0.087988119545066995,6.4850690270369283e-05
0.090303596375199996,6.6557287382732811e-05
0.092619073205332997,6.8263884495125057e-05
0.094934550035466997,6.9970481607503683e-05
0.097250026865599998,7.1677078719866114e-05
0.099565503695732999,7.3383675832306959e-05
0.10188098052587,7.5090272944640293e-05
0.104196457356,7.6796870056899982e-05
0.10651193418613,7.8503467169442457e-05
0.10882741101627,8.0210064281826613e-05
0.1111428878464,8.1916661394026657e-05
0.11345836467653,8.3623258506580192e-05
0.11577384150667,8.5329855618964333e-05
0.1180893183368,8.7036452731153319e-05
0.12040479516693001,8.8743049843717899e-05
0.12272027199707,9.0449646956102041e-05
0.12503574882720001,9.2156244068279981e-05
0.12735122565733001,9.3862841180855606e-05
0.12966670248747,9.5569438293239748e-05
0.13198217931760001,9.7276035405406656e-05
