x[nm]                E_3[eV]              Psi^2_3_so1[nm^-1/2]
7.1142317671146      1.4167478423565      1.4167481833718
7.260978922993       1.4167478423565      1.4168101270668
7.4003918486039      1.4167478423565      1.4167634969144
7.532837099151       1.4167478423565      1.4167540985545
7.6586629098899      1.4167478423565      1.4167489187309
7.7782001117354      1.4167478423565      1.4167478790639
7.891763001107       1.4167478423565      1.4167494275207
7.9996501663019      1.4167478423565      1.4167526399431
8.1021452725658      1.4167478423565      1.4167568610863
8.1995178079279      1.4167478423565      1.4167615912118
8.2920237917592      1.4167478423565      1.4167664238368
8.3799064479186      1.4167478423565      1.4167710151894
8.4633968442558      1.4167478423565      1.416775075903
8.5427145001525      1.4167478423565      1.4167783923825
8.6180679636999      1.4167478423565      1.4167809280832
8.6896553600291      1.4167478423565      1.4167821297482
8.7576649122373      1.4167478423565      1.4167820167155
8.8222754362784      1.4167478423565      1.4167808097637
8.8836568111193      1.4167478423565      1.4167787231649
8.9419704253995      1.4167478423565      1.4167759759055
8.9973696017656      1.4167478423565      1.4167727828796
9.05                 1.4167478423565      1.4167693453413
9.1                  1.4167478423565      1.4167658435693
9.15                 1.4167478423565      1.4167622547045
9.2                  1.4167478423565      1.416758732919
9.25                 1.4167478423565      1.4167554433668
9.3                  1.4167478423565      1.416752556139
9.35                 1.4167478423565      1.4167502379396
9.4                  1.4167478423565      1.4167486411281
9.45                 1.4167478423565      1.4167478897741
9.5                  1.4167478423565      1.4167480624403
9.55                 1.4167478423565      1.4167491716471
9.6                  1.4167478423565      1.4167511404913
9.65                 1.4167478423565      1.4167538216961
9.7                  1.4167478423565      1.4167570779131
9.75                 1.4167478423565      1.4167608088873
9.8                  1.4167478423565      1.4167649314404
9.85                 1.4167478423565      1.4167693755205
9.9                  1.4167478423565      1.416774081497
9.95                 1.4167478423565      1.4167789982373
10                   1.4167478423565      1.4167840816843
10.05                1.4167478423565      1.4167892937627
10.1                 1.4167478423565      1.4167946015088
10.15                1.4167478423565      1.4167999763589
10.2                 1.4167478423565      1.4168053935531
