x[nm]                  E_3_real[eV]           Psi_3_x2_real[nm^-1/2] E_3_imag[eV]           Psi_3_x2_imag[nm^-1/2]
7.1142317671146        1.4167478423565        1.4187318296111        1.4167478423565        1.4159576129818
7.260978922993         1.4167478423565        1.3921009218654        1.4167478423565        1.4265648008681
7.4003918486039        1.4167478423565        1.4074738475512        1.4167478423565        1.4204417083822
7.532837099151         1.4167478423565        1.4152463175211        1.4167478423565        1.4173459051862
7.6586629098899        1.4167478423565        1.4234686457591        1.4167478423565        1.4140709217979
7.7782001117354        1.4167478423565        1.4312354105854        1.4167478423565        1.4109773909815
7.891763001107         1.4167478423565        1.438731285163         1.4167478423565        1.4079917567411
7.9996501663019        1.4167478423565        1.4460122321182        1.4167478423565        1.4050917289584
8.1021452725658        1.4167478423565        1.4531252770915        1.4167478423565        1.4022585771486
8.1995178079279        1.4167478423565        1.460104392474         1.4167478423565        1.3994787699844
8.2920237917592        1.4167478423565        1.4669735872543        1.4167478423565        1.3967427445977
8.3799064479186        1.4167478423565        1.4737493339738        1.4167478423565        1.3940439399152
8.4633968442558        1.4167478423565        1.4804437527431        1.4167478423565        1.3913775284525
8.5427145001525        1.4167478423565        1.4870727023981        1.4167478423565        1.3887371935774
8.6180679636999        1.4167478423565        1.4936836194196        1.4167478423565        1.386104041166
8.6896553600291        1.4167478423565        1.5000788870789        1.4167478423565        1.3835567826838
8.7576649122373        1.4167478423565        1.5062128513774        1.4167478423565        1.3811136022851
8.8222754362784        1.4167478423565        1.5120906591936        1.4167478423565        1.3787724499496
8.8836568111193        1.4167478423565        1.5177080091249        1.4167478423565        1.3765350389416
8.9419704253995        1.4167478423565        1.5230605971652        1.4167478423565        1.3744030835624
8.9973696017656        1.4167478423565        1.5281460388063        1.4167478423565        1.3723775335704
9.05                   1.4167478423565        1.532964327462         1.4167478423565        1.3704583915889
9.1                    1.4167478423565        1.5375178689044        1.4167478423565        1.36864469939
9.15                   1.4167478423565        1.5420363073942        1.4167478423565        1.3668449888254
9.2                    1.4167478423565        1.5465079488456        1.4167478423565        1.3650639176923
9.25                   1.4167478423565        1.5509212666171        1.4167478423565        1.3633060770941
9.3                    1.4167478423565        1.5552654503435        1.4167478423565        1.3615757728387
9.35                   1.4167478423565        1.5595310842295        1.4167478423565        1.3598767552717
9.4                    1.4167478423565        1.5637110069653        1.4167478423565        1.3582118767692
9.45                   1.4167478423565        1.5678014120575        1.4167478423565        1.3565826534713
9.5                    1.4167478423565        1.5718032606481        1.4167478423565        1.3549887025516
9.55                   1.4167478423565        1.5757240982419        1.4167478423565        1.3534270186081
9.6                    1.4167478423565        1.5795803928091        1.4167478423565        1.3518910423879
9.65                   1.4167478423565        1.5834054129077        1.4167478423565        1.3503675229029
9.7                    1.4167478423565        1.5872171207866        1.4167478423565        1.3488493057236
9.75                   1.4167478423565        1.591008118678         1.4167478423565        1.3473393374081
9.8                    1.4167478423565        1.5947728791529        1.4167478423565        1.3458398195514
9.85                   1.4167478423565        1.5985071671628        1.4167478423565        1.3443524389889
9.9                    1.4167478423565        1.6022076446049        1.4167478423565        1.3428785252992
9.95                   1.4167478423565        1.6058715996053        1.4167478423565        1.3414191586314
10                     1.4167478423565        1.6094967610302        1.4167478423565        1.3399752435866
10.05                  1.4167478423565        1.6130811712519        1.4167478423565        1.3385475598949
10.1                   1.4167478423565        1.6166230987449        1.4167478423565        1.3371367972293
10.15                  1.4167478423565        1.620120977923         1.4167478423565        1.3357435791686
10.2                   1.4167478423565        1.6235733676178        1.4167478423565        1.3343684797353
10.25                  1.4167478423565        1.6269789223217        1.4167478423565        1.3330120348501
10.3                   1.4167478423565        1.6303363721804        1.4167478423565        1.3316747503005
10.35                  1.4167478423565        1.6336445089891        1.4167478423565        1.3303571073189
10.4                   1.4167478423565        1.6369021763154        1.4167478423565        1.3290595665167
10.45                  1.4167478423565        1.6401082624658        1.4167478423565        1.3277825706853
10.5                   1.4167478423565        1.6432616954172        1.4167478423565        1.3265265468156
10.55                  1.4167478423565        1.6463614391112        1.4167478423565        1.3252919075732
10.6                   1.4167478423565        1.6494064906989        1.4167478423565        1.3240790523967
10.65                  1.4167478423565        1.6523958784537        1.4167478423565        1.3228883683283
10.7                   1.4167478423565        1.6553286601564        1.4167478423565        1.3217202306574
10.75                  1.4167478423565        1.6582039218193        1.4167478423565        1.3205750034285
10.8                   1.4167478423565        1.6610207766565        1.4167478423565        1.3194530398517
10.85                  1.4167478423565        1.6637783642347        1.4167478423565        1.3183546826409
10.9                   1.4167478423565        1.6664758497614        1.4167478423565        1.3172802642968
10.95                  1.4167478423565        1.669112423477         1.4167478423565        1.3162301073497
11                     1.4167478423565        1.67168730013          1.4167478423565        1.315204524568
11.05                  1.4167478423565        1.6741997185179        1.4167478423565        1.3142038191417
11.1                   1.4167478423565        1.6766489410819        1.4167478423565        1.313228284843
11.15                  1.4167478423565        1.6790342535485        1.4167478423565        1.3122782061697
11.2                   1.4167478423565        1.6813549646085        1.4167478423565        1.3113538584727
11.25                  1.4167478423565        1.6836104056313        1.4167478423565        1.3104555080701
11.3                   1.4167478423565        1.6857999304077        1.4167478423565        1.3095834123494
11.35                  1.4167478423565        1.6879229149198        1.4167478423565        1.3087378198591
