x[nm]                 E_14[eV]              Psi^2_14_cb2[nm^-1/2]
7.1142317671146       3.0911484520155       3.0911504619949
7.260978922993        3.0911484520155       3.0919124873906
7.4003918486039       3.0911484520155       3.0913314195738
7.532837099151        3.0911484520155       3.091196073606
7.6586629098899       3.0911484520155       3.0911484855157
7.7782001117354       3.0911484520155       3.09119512236
7.891763001107        3.0911484520155       3.091322872452
7.9996501663019       3.0911484520155       3.0915230466774
8.1021452725658       3.0911484520155       3.091789289068
8.1995178079279       3.0911484520155       3.0921168004541
8.2920237917592       3.0911484520155       3.092501806659
8.3799064479186       3.0911484520155       3.0929411610591
8.4633968442558       3.0911484520155       3.093431955054
8.5427145001525       3.0911484520155       3.0939706917893
8.6180679636999       3.0911484520155       3.0945502941035
8.6896553600291       3.0911484520155       3.0951347915114
8.7576649122373       3.0911484520155       3.0957249627106
8.8222754362784       3.0911484520155       3.0963226966154
8.8836568111193       3.0911484520155       3.0969232792798
8.9419704253995       3.0911484520155       3.0975210761324
8.9973696017656       3.0911484520155       3.0981107265467
9.05                  3.0911484520155       3.098687489533
9.1                   3.0911484520155       3.0992473716944
9.15                  3.0911484520155       3.0998157072243
9.2                   3.0911484520155       3.1003891284178
9.25                  3.0911484520155       3.1009641726847
9.3                   3.0911484520155       3.1015374891155
9.35                  3.0911484520155       3.1021061371072
9.4                   3.0911484520155       3.1026680081062
9.45                  3.0911484520155       3.1032224110424
9.5                   3.0911484520155       3.1037708760681
9.55                  3.0911484520155       3.1043182527072
9.6                   3.0911484520155       3.1048742129515
9.65                  3.0911484520155       3.1054526957026
9.7                   3.0911484520155       3.1060542628277
9.75                  3.0911484520155       3.1066659481929
9.8                   3.0911484520155       3.10727804708
9.85                  3.0911484520155       3.1078831218676
9.9                   3.0911484520155       3.1084753290709
9.95                  3.0911484520155       3.1090499598757
10                    3.0911484520155       3.1096031251932
10.05                 3.0911484520155       3.1101315397149
10.1                  3.0911484520155       3.1106323742485
10.15                 3.0911484520155       3.1111031552925
10.2                  3.0911484520155       3.1115416973031
10.25                 3.0911484520155       3.1119460575438
10.3                  3.0911484520155       3.1123145064738
10.35                 3.0911484520155       3.1126455087563
10.4                  3.0911484520155       3.1129377114595
