x[nm]                E_12[eV]             Psi^2_12[nm^-1]     
7.1142317671146      2.9525116792099      2.9525299993085
7.260978922993       2.9525116792099      2.9589255897063
7.4003918486039      2.9525116792099      2.9555144998411
7.532837099151       2.9525116792099      2.9550298237888
7.6586629098899      2.9525116792099      2.9546926750239
7.7782001117354      2.9525116792099      2.9546905143051
7.891763001107       2.9525116792099      2.9549578998512
7.9996501663019      2.9525116792099      2.9554671366302
8.1021452725658      2.9525116792099      2.9561999892747
8.1995178079279      2.9525116792099      2.9571452604988
8.2920237917592      2.9525116792099      2.9582962296081
8.3799064479186      2.9525116792099      2.9596488600787
8.4633968442558      2.9525116792099      2.9612004409139
8.5427145001525      2.9525116792099      2.9629481990748
8.6180679636999      2.9525116792099      2.9648865064142
8.6896553600291      2.9525116792099      2.9669328684789
8.7576649122373      2.9525116792099      2.9690557590481
8.8222754362784      2.9525116792099      2.9712396740637
8.8836568111193      2.9525116792099      2.9734633328566
8.9419704253995      2.9525116792099      2.9757049011739
8.9973696017656      2.9525116792099      2.9779435191124
9.05                 2.9525116792099      2.9801600331215
9.1                  2.9525116792099      2.982337462332
9.15                 2.9525116792099      2.9845749084133
9.2                  2.9525116792099      2.9868610773168
9.25                 2.9525116792099      2.9891839372575
9.3                  2.9525116792099      2.9915315136588
9.35                 2.9525116792099      2.9938930876876
9.4                  2.9525116792099      2.9962609306571
9.45                 2.9525116792099      2.9986327447348
9.5                  2.9525116792099      3.0010150357243
9.55                 2.9525116792099      3.0034277289043
9.6                  2.9525116792099      3.0059104782332
9.65                 2.9525116792099      3.0085081213709
9.7                  2.9525116792099      3.0112291295976
9.75                 2.9525116792099      3.0140527415937
9.8                  2.9525116792099      3.0169632138612
9.85                 2.9525116792099      3.0199482657141
9.9                  2.9525116792099      3.0229980461083
9.95                 2.9525116792099      3.026104422502
10                   2.9525116792099      3.0292604805764
10.05                2.9525116792099      3.0324601682027
10.1                 2.9525116792099      3.0356980409335
10.15                2.9525116792099      3.0389690801279
10.2                 2.9525116792099      3.0422685634588
10.25                2.9525116792099      3.0455919733033
10.3                 2.9525116792099      3.0489349325244
10.35                2.9525116792099      3.0522931600177
10.4                 2.9525116792099      3.0556624404809
10.45                2.9525116792099      3.0590386043842
10.5                 2.9525116792099      3.0624175152324
10.55                2.9525116792099      3.0657950620192
10.6                 2.9525116792099      3.0691671553663
10.65                2.9525116792099      3.0725297262661
10.7                 2.9525116792099      3.0758787266559
10.75                2.9525116792099      3.0792101312726
10.8                 2.9525116792099      3.0825199403966
10.85                2.9525116792099      3.085804183206
10.9                 2.9525116792099      3.0890589215442
10.95                2.9525116792099      3.0922802539581
11                   2.9525116792099      3.0954643199096
11.05                2.9525116792099      3.0986073040863
11.1                 2.9525116792099      3.1017054407608
11.15                2.9525116792099      3.1047550181612
11.2                 2.9525116792099      3.1077523828249
11.25                2.9525116792099      3.1106939439148
11.3                 2.9525116792099      3.1135761774828
11.35                2.9525116792099      3.1163956306679
11.4                 2.9525116792099      3.1191489258184
11.45                2.9525116792099      3.1218327645308
11.5                 2.9525116792099      3.1244439315972
11.55                2.9525116792099      3.1269792988562
11.6                 2.9525116792099      3.1294358289409
11.65                2.9525116792099      3.1318105789183
11.7                 2.9525116792099      3.1341007038171
11.75                2.9525116792099      3.1363034600373
11.8                 2.9525116792099      3.1384162086394
11.85                2.9525116792099      3.1404364185066
11.9                 2.9525116792099      3.1423616693795
11.95                2.9525116792099      3.1441896547566
12                   2.9525116792099      3.1459181846587
12.05                2.9525116792099      3.1475451882535
12.1                 2.9525116792099      3.1490687163377
12.15                2.9525116792099      3.1504869436725
12.2                 2.9525116792099      3.1517981711712
12.25                2.9525116792099      3.1530008279353
12.3                 2.9525116792099      3.1540934731368
12.35                2.9525116792099      3.1550747977446
12.4                 2.9525116792099      3.1559436260933
12.45                2.9525116792099      3.1566989172921
12.5                 2.9525116792099      3.1573397664713
12.55                2.9525116792099      3.1578654058671
12.6                 2.9525116792099      3.1582752057417
12.65                2.9525116792099      3.158568675137
12.7                 2.9525116792099      3.1587454624637
12.75                2.9525116792099      3.1588053559219
12.8                 2.9525116792099      3.1587482837552
12.85                2.9525116792099      3.1585743143365
12.9                 2.9525116792099      3.158283656086
12.95                2.9525116792099      3.1578766572213
13                   2.9525116792099      3.1573538053402
13.05                2.9525116792099      3.1567157268362
13.1                 2.9525116792099      3.155963186148
13.15                2.9525116792099      3.1550970848432
13.2                 2.9525116792099      3.1541184605377
13.25                2.9525116792099      3.1530284856524
13.3                 2.9525116792099      3.1518284660079
13.35                2.9525116792099      3.1505198392593
13.4                 2.9525116792099      3.1491041731733
13.45                2.9525116792099      3.1475831637487
13.5                 2.9525116792099      3.1459586331837
13.55                2.9525116792099      3.1442325276916
13.6                 2.9525116792099      3.1424069151674
13.65                2.9525116792099      3.1404839827094
13.7                 2.9525116792099      3.1384660339965
13.75                2.9525116792099      3.1363554865272
13.8                 2.9525116792099      3.1341548687212
13.85                2.9525116792099      3.1318668168891
13.9                 2.9525116792099      3.1294940720727
13.95                2.9525116792099      3.1270394767616
14                   2.9525116792099      3.1245059714901
14.05                2.9525116792099      3.1218965913191
14.1                 2.9525116792099      3.1192144622112
14.15                2.9525116792099      3.1164627973033
14.2                 2.9525116792099      3.1136448930879
14.25                2.9525116792099      3.1107641255124
14.3                 2.9525116792099      3.1078239460113
14.35                2.9525116792099      3.1048278774877
14.4                 2.9525116792099      3.1017795102708
14.45                2.9525116792099      3.0986824980809
14.5                 2.9525116792099      3.095540554048
14.55                2.9525116792099      3.0923574468498
14.6                 2.9525116792099      3.0891369970576
14.65                2.9525116792099      3.08588307382
14.7                 2.9525116792099      3.0825995920654
14.75                2.9525116792099      3.0792905104813
14.8                 2.9525116792099      3.0759598306386
14.85                2.9525116792099      3.0726115977815
14.9                 2.9525116792099      3.0692499040252
14.95                2.9525116792099      3.0658788950118
15                   2.9525116792099      3.0625027815125
15.05                2.9525116792099      3.059125858081
15.1                 2.9525116792099      3.0557525317268
15.15                2.9525116792099      3.0523873647904
15.2                 2.9525116792099      3.0490351379013
15.25                2.9525116792099      3.0457009412834
15.3                 2.9525116792099      3.0423903060154
15.35                2.9525116792099      3.0391093915921
15.4                 2.9525116792099      3.0358652529114
15.45                2.9525116792099      3.0326662197338
15.5                 2.9525116792099      3.0295224366612
