x[nm]                   E_13_real[eV]           Psi_13_z2_real[nm^-1/2] E_13_imag[eV]           Psi_13_z2_imag[nm^-1/2]
7.1142317671146         3.0911484520154         3.091105227896          3.0911484520154         3.0911484520154
7.260978922993          3.0911484520154         3.0901359832245         3.0911484520154         3.0911484520154
7.4003918486039         3.0911484520154         3.0897586241862         3.0911484520154         3.0911484520154
7.532837099151          3.0911484520154         3.0895598531315         3.0911484520154         3.0911484520154
7.6586629098899         3.0911484520154         3.0894515004459         3.0911484520154         3.0911484520154
7.7782001117354         3.0911484520154         3.0893811213727         3.0911484520154         3.0911484520154
7.891763001107          3.0911484520154         3.0893250811587         3.0911484520154         3.0911484520154
7.9996501663019         3.0911484520154         3.0892721769692         3.0911484520154         3.0911484520154
8.1021452725658         3.0911484520154         3.0892172324253         3.0911484520154         3.0911484520154
8.1995178079279         3.0911484520154         3.0891579973706         3.0911484520154         3.0911484520154
8.2920237917592         3.0911484520154         3.0890936471738         3.0911484520154         3.0911484520154
8.3799064479186         3.0911484520154         3.0890240378125         3.0911484520154         3.0911484520154
8.4633968442558         3.0911484520154         3.0889493258949         3.0911484520154         3.0911484520154
8.5427145001525         3.0911484520154         3.0888697596531         3.0911484520154         3.0911484520154
8.6180679636999         3.0911484520154         3.0887855138369         3.0911484520154         3.0911484520154
8.6896553600291         3.0911484520154         3.0886988455067         3.0911484520154         3.0911484520154
8.7576649122373         3.0911484520154         3.088613714722          3.0911484520154         3.0911484520154
8.8222754362784         3.0911484520154         3.088533264117          3.0911484520154         3.0911484520154
8.8836568111193         3.0911484520154         3.0884594925877         3.0911484520154         3.0911484520154
8.9419704253995         3.0911484520154         3.0883935827176         3.0911484520154         3.0911484520154
8.9973696017656         3.0911484520154         3.0883361490469         3.0911484520154         3.0911484520154
9.05                    3.0911484520154         3.0882874056714         3.0911484520154         3.0911484520154
9.1                     3.0911484520154         3.0882472799999         3.0911484520154         3.0911484520154
9.15                    3.0911484520154         3.0882140325018         3.0911484520154         3.0911484520154
9.2                     3.0911484520154         3.0881884256002         3.0911484520154         3.0911484520154
9.25                    3.0911484520154         3.0881711624275         3.0911484520154         3.0911484520154
9.3                     3.0911484520154         3.0881628746943         3.0911484520154         3.0911484520154
