x[nm]                   E_2_real[eV]            Psi_2_hh1_real[nm^-1/2] E_2_imag[eV]            Psi_2_hh1_imag[nm^-1/2]
7.1142317671146         1.3976942530798         1.397520479457          1.3976942530798         1.3977363471953
7.260978922993          1.3976942530798         1.3937808353053         1.3976942530798         1.3986422212319
7.4003918486039         1.3976942530798         1.3900458741901         1.3976942530798         1.3995469608714
7.532837099151          1.3976942530798         1.386176160227          1.3976942530798         1.4004843424151
7.6586629098899         1.3976942530798         1.3820629791755         1.3976942530798         1.401480700296
7.7782001117354         1.3976942530798         1.3776202718831         1.3976942530798         1.4025568810835
7.891763001107          1.3976942530798         1.3727793951269         1.3976942530798         1.4037295125932
7.9996501663019         1.3976942530798         1.3674857059851         1.3976942530798         1.4050118312729
8.1021452725658         1.3976942530798         1.3616963172033         1.3976942530798         1.4064142259319
8.1995178079279         1.3976942530798         1.3553785951061         1.3976942530798         1.4079446016001
8.2920237917592         1.3976942530798         1.3485091169736         1.3976942530798         1.4096086320887
8.3799064479186         1.3976942530798         1.3410729007164         1.3976942530798         1.4114099465893
8.4633968442558         1.3976942530798         1.3330627840259         1.3976942530798         1.4133502800663
8.5427145001525         1.3976942530798         1.3244788739462         1.3976942530798         1.4154296065898
8.6180679636999         1.3976942530798         1.3153280179367         1.3976942530798         1.417646267463
8.6896553600291         1.3976942530798         1.3057430001073         1.3976942530798         1.4199680976798
8.7576649122373         1.3976942530798         1.2958546000826         1.3976942530798         1.422363417791
8.8222754362784         1.3976942530798         1.2857709805412         1.3976942530798         1.4248060269715
8.8836568111193         1.3976942530798         1.2755925884504         1.3976942530798         1.4272715934144
8.9419704253995         1.3976942530798         1.2654111219276         1.3976942530798         1.4297379045934
8.9973696017656         1.3976942530798         1.2553087673159         1.3976942530798         1.4321850520703
9.05                    1.3976942530798         1.2453577531713         1.3976942530798         1.4345955395352
9.1                     1.3976942530798         1.2356202187401         1.3976942530798         1.4369543146655
9.15                    1.3976942530798         1.225645549972          1.3976942530798         1.4393705321165
9.2                     1.3976942530798         1.2154771643932         1.3976942530798         1.4418336746283
9.25                    1.3976942530798         1.2051640375889         1.3976942530798         1.4443318785827
9.3                     1.3976942530798         1.1947607756543         1.3976942530798         1.4468519164525
9.35                    1.3976942530798         1.1843276224107         1.3976942530798         1.4493791950541
9.4                     1.3976942530798         1.173930394921          1.3976942530798         1.451897771168
9.45                    1.3976942530798         1.1636403411605         1.3976942530798         1.4543903860153
9.5                     1.3976942530798         1.1535339141774         1.3976942530798         1.4568385199646
9.55                    1.3976942530798         1.1436924577042         1.3976942530798         1.4592224686878
9.6                     1.3976942530798         1.134201798967          1.3976942530798         1.4615214417962
9.65                    1.3976942530798         1.1250983793891         1.3976942530798         1.4637266118885
9.7                     1.3976942530798         1.116382546387          1.3976942530798         1.4658378948083
9.75                    1.3976942530798         1.108066692444          1.3976942530798         1.4678522886578
9.8                     1.3976942530798         1.1001626413392         1.3976942530798         1.4697669292997
9.85                    1.3976942530798         1.0926816313355         1.3976942530798         1.4715790944295
9.9                     1.3976942530798         1.0856342992009         1.3976942530798         1.4732862074457
9.95                    1.3976942530798         1.0790306650844         1.3976942530798         1.4748858411141
10                      1.3976942530798         1.0728801182697         1.3976942530798         1.4763757210182
10.05                   1.3976942530798         1.0671914038245         1.3976942530798         1.4777537287933
10.1                    1.3976942530798         1.0619726101666         1.3976942530798         1.4790179051386
10.15                   1.3976942530798         1.0572311575639         1.3976942530798         1.4801664526031
10.2                    1.3976942530798         1.0529737875834         1.3976942530798         1.4811977381406
10.25                   1.3976942530798         1.0492065535062         1.3976942530798         1.4821102954326
10.3                    1.3976942530798         1.0459348117207         1.3976942530798         1.4829028269724
10.35                   1.3976942530798         1.0431632141065         1.3976942530798         1.4835742059102
10.4                    1.3976942530798         1.0408957014203         1.3976942530798         1.4841234776555
10.45                   1.3976942530798         1.0391354976929         1.3976942530798         1.484549861234
10.5                    1.3976942530798         1.037885105645          1.3976942530798         1.4848527503982
10.55                   1.3976942530798         1.0371463031288         1.3976942530798         1.4850317144895
10.6                    1.3976942530798         1.0369201406002         1.3976942530798         1.4850864990504
10.65                   1.3976942530798         1.0372069396251         1.3976942530798         1.4850170261862
10.7                    1.3976942530798         1.0380062924225         1.3976942530798         1.4848233946759
10.75                   1.3976942530798         1.0393170624438         1.3976942530798         1.4845058798317
10.8                    1.3976942530798         1.0411373859893         1.3976942530798         1.4840649331076
10.85                   1.3976942530798         1.0434646748579         1.3976942530798         1.4835011814574
10.9                    1.3976942530798         1.0462956200268         1.3976942530798         1.4828154264435
10.95                   1.3976942530798         1.0496261963569         1.3976942530798         1.4820086430968
11                      1.3976942530798         1.0534516683154         1.3976942530798         1.4810819785308
11.05                   1.3976942530798         1.0577665967092         1.3976942530798         1.4800367503105
11.1                    1.3976942530798         1.0625648464188         1.3976942530798         1.4788744445786
11.15                   1.3976942530798         1.0678395951207         1.3976942530798         1.4775967139431
11.2                    1.3976942530798         1.0735833429885         1.3976942530798         1.4762053751273
11.25                   1.3976942530798         1.0797879233556         1.3976942530798         1.4747024063864
11.3                    1.3976942530798         1.0864445143275         1.3976942530798         1.4730899446952
11.35                   1.3976942530798         1.0935436513248         1.3976942530798         1.4713702827095
11.4                    1.3976942530798         1.1010752405402         1.3976942530798         1.4695458655064
11.45                   1.3976942530798         1.1090285732904         1.3976942530798         1.4676192871074
11.5                    1.3976942530798         1.1173923412422         1.3976942530798         1.4655932867909
11.55                   1.3976942530798         1.1261546524907         1.3976942530798         1.4634707451965
11.6                    1.3976942530798         1.135303048468          1.3976942530798         1.46125468023
11.65                   1.3976942530798         1.1448245216571         1.3976942530798         1.4589482427719
11.7                    1.3976942530798         1.1547055340863         1.3976942530798         1.4565547121976
11.75                   1.3976942530798         1.1649320365783         1.3976942530798         1.4540774917145
11.8                    1.3976942530798         1.1754894887257         1.3976942530798         1.4515201035235
11.85                   1.3976942530798         1.1863628795649         1.3976942530798         1.4488861838106
11.9                    1.3976942530798         1.1975367489193         1.3976942530798         1.4461794775773
11.95                   1.3976942530798         1.2089952093815         1.3976942530798         1.4434038333154
12                      1.3976942530798         1.2207219689018         1.3976942530798         1.4405631975353
12.05                   1.3976942530798         1.2327003539537         1.3976942530798         1.4376616091547
12.1                    1.3976942530798         1.2449133332404         1.3976942530798         1.4347031937559
12.15                   1.3976942530798         1.2573435419104         1.3976942530798         1.4316921577198
12.2                    1.3976942530798         1.2699733062479         1.3976942530798         1.4286327822453
12.25                   1.3976942530798         1.2827846688017         1.3976942530798         1.4255294172621
12.3                    1.3976942530798         1.2957594139177         1.3976942530798         1.4223864752456
12.35                   1.3976942530798         1.3088790936386         1.3976942530798         1.4192084249433
12.4                    1.3976942530798         1.322125053934          1.3976942530798         1.415999785021
12.45                   1.3976942530798         1.3354784612231         1.3976942530798         1.4127651176377
12.5                    1.3976942530798         1.3489203291531         1.3976942530798         1.4095090219595
12.55                   1.3976942530798         1.362431545595          1.3976942530798         1.4062361276198
12.6                    1.3976942530798         1.3759928998172         1.3976942530798         1.402951088137
12.65                   1.3976942530798         1.3895851098007         1.3976942530798         1.3996585742978
12.7                    1.3976942530798         1.4031888496545         1.3976942530798         1.3963632675164
12.75                   1.3976942530798         1.4167847770941         1.3976942530798         1.3930698531779
12.8                    1.3976942530798         1.430353560943          1.3976942530798         1.3897830139768
12.85                   1.3976942530798         1.4438759086183         1.3976942530798         1.3865074232587
12.9                    1.3976942530798         1.4573325935619         1.3976942530798         1.383247738376
12.95                   1.3976942530798         1.4707044825771         1.3976942530798         1.3800085940652
13                      1.3976942530798         1.4839725630333         1.3976942530798         1.3767945958578
13.05                   1.3976942530798         1.4971179698986         1.3976942530798         1.3736103135315
13.1                    1.3976942530798         1.5101220125626         1.3976942530798         1.370460274613
13.15                   1.3976942530798         1.5229662014118         1.3976942530798         1.3673489579404
13.2                    1.3976942530798         1.5356322741185         1.3976942530798         1.3642807872952
13.25                   1.3976942530798         1.5481022216069         1.3976942530798         1.3612601251122
13.3                    1.3976942530798         1.5603583136591         1.3976942530798         1.3582912662773
13.35                   1.3976942530798         1.5723831241244         1.3976942530798         1.3553784320201
13.4                    1.3976942530798         1.5841595556968         1.3976942530798         1.3525257639127
13.45                   1.3976942530798         1.595670864224          1.3976942530798         1.3497373179809
13.5                    1.3976942530798         1.6069006825153         1.3976942530798         1.3470170589369
13.55                   1.3976942530798         1.6178330436129         1.3976942530798         1.3443688545424
13.6                    1.3976942530798         1.6284524034944         1.3976942530798         1.3417964701093
13.65                   1.3976942530798         1.6387436631734         1.3976942530798         1.3393035631459
13.7                    1.3976942530798         1.6486921901684         1.3976942530798         1.3368936781566
13.75                   1.3976942530798         1.6582838393074         1.3976942530798         1.3345702416022
13.8                    1.3976942530798         1.6675049728403         1.3976942530798         1.332336557028
13.85                   1.3976942530798         1.6763424798291         1.3976942530798         1.3301958003666
13.9                    1.3976942530798         1.6847837947898         1.3976942530798         1.3281510154227
13.95                   1.3976942530798         1.6928169155585         1.3976942530798         1.3262051095446
14                      1.3976942530798         1.7004304203566         1.3976942530798         1.324360849491
14.05                   1.3976942530798         1.70761348403           1.3976942530798         1.322620857497
14.1                    1.3976942530798         1.7143558934418         1.3976942530798         1.3209876075454
14.15                   1.3976942530798         1.7206480619926         1.3976942530798         1.3194634218495
14.2                    1.3976942530798         1.726481043252          1.3976942530798         1.3180504675512
14.25                   1.3976942530798         1.7318465436783         1.3976942530798         1.3167507536394
14.3                    1.3976942530798         1.7367369344108         1.3976942530798         1.3155661280939
14.35                   1.3976942530798         1.7411452621168         1.3976942530798         1.3144982752578
14.4                    1.3976942530798         1.7450652588781         1.3976942530798         1.3135487134425
14.45                   1.3976942530798         1.748491351103          1.3976942530798         1.3127187927689
14.5                    1.3976942530798         1.7514186674508         1.3976942530798         1.3120096932481
14.55                   1.3976942530798         1.7538430457582         1.3976942530798         1.311422423103
14.6                    1.3976942530798         1.7557610389575         1.3976942530798         1.3109578173354
14.65                   1.3976942530798         1.7571699199772         1.3976942530798         1.3106165365385
14.7                    1.3976942530798         1.7580676856197         1.3976942530798         1.3103990659575
14.75                   1.3976942530798         1.7584530594098         1.3976942530798         1.3103057147999
