x[nm]                    E_13_real[eV]            Psi_13_lh2_real[nm^-1/2] E_13_imag[eV]            Psi_13_lh2_imag[nm^-1/2]
7.1142317671146          3.0911484520154          3.0925607540203          3.0911484520154          3.0911898833112
7.260978922993           3.0911484520154          3.0643384801522          3.0911484520154          3.0903619546015
7.4003918486039          3.0911484520154          3.0692588251586          3.0911484520154          3.0905062978572
7.532837099151           3.0911484520154          3.0688402670422          3.0911484520154          3.090494019035
7.6586629098899          3.0911484520154          3.0689241522215          3.0911484520154          3.0904964798909
7.7782001117354          3.0911484520154          3.0687837778263          3.0911484520154          3.0904923618672
7.891763001107           3.0911484520154          3.0685009157528          3.0911484520154          3.0904840638246
7.9996501663019          3.0911484520154          3.0680860420903          3.0911484520154          3.0904718930896
8.1021452725658          3.0911484520154          3.0675549269842          3.0911484520154          3.0904563122953
8.1995178079279          3.0911484520154          3.066922334335           3.0911484520154          3.0904377545555
8.2920237917592          3.0911484520154          3.066201845015           3.0911484520154          3.0904166182786
8.3799064479186          3.0911484520154          3.065405931024           3.0911484520154          3.0903932693434
8.4633968442558          3.0911484520154          3.0645468231482          3.0911484520154          3.0903680665523
8.5427145001525          3.0911484520154          3.0636403701001          3.0911484520154          3.090341474843
8.6180679636999          3.0911484520154          3.0627213218735          3.0911484520154          3.0903145136415
8.6896553600291          3.0911484520154          3.0617402184323          3.0911484520154          3.090285731988
8.7576649122373          3.0911484520154          3.0608024193693          3.0911484520154          3.0902582207119
8.8222754362784          3.0911484520154          3.0599673375874          3.0911484520154          3.0902337227503
8.8836568111193          3.0911484520154          3.0592462881618          3.0911484520154          3.0902125700422
8.9419704253995          3.0911484520154          3.0586402403487          3.0911484520154          3.0901947910218
8.9973696017656          3.0911484520154          3.0581468467371          3.0911484520154          3.0901803168253
9.05                     3.0911484520154          3.0577621290726          3.0911484520154          3.0901690307468
9.1                      3.0911484520154          3.0574809876359          3.0911484520154          3.0901607831808
9.15                     3.0911484520154          3.0572902382832          3.0911484520154          3.0901551873572
9.2                      3.0911484520154          3.0571979430704          3.0911484520154          3.0901524797845
9.25                     3.0911484520154          3.0572117002943          3.0911484520154          3.0901528833665
9.3                      3.0911484520154          3.0573381335617          3.0911484520154          3.0901565924132
9.35                     3.0911484520154          3.0575821687548          3.0911484520154          3.0901637514304
9.4                      3.0911484520154          3.057946038445           3.0911484520154          3.0901744259127
9.45                     3.0911484520154          3.0584279324742          3.0911484520154          3.0901885627573
9.5                      3.0911484520154          3.05902018748            3.0911484520154          3.0902059371519
9.55                     3.0911484520154          3.0597068747951          3.0911484520154          3.090226081813
9.6                      3.0911484520154          3.0604606027902          3.0911484520154          3.0902481931797
9.65                     3.0911484520154          3.061316672381           3.0911484520154          3.0902733068398
9.7                      3.0911484520154          3.0623083156519          3.0911484520154          3.0903023976897
9.75                     3.0911484520154          3.0634006762387          3.0911484520154          3.0903344431831
9.8                      3.0911484520154          3.064569674146           3.0911484520154          3.0903687369092
9.85                     3.0911484520154          3.06579851804            3.0911484520154          3.0904047862773
9.9                      3.0911484520154          3.0670753487015          3.0911484520154          3.0904422433854
9.95                     3.0911484520154          3.0683916460739          3.0911484520154          3.090480858289
10                       3.0911484520154          3.0697411519361          3.0911484520154          3.090520447397
10.05                    3.0911484520154          3.0711191408882          3.0911484520154          3.0905608720849
10.1                     3.0911484520154          3.0725219267292          3.0911484520154          3.0906020242145
10.15                    3.0911484520154          3.0739465280031          3.0911484520154          3.0906438163217
10.2                     3.0911484520154          3.0753904412383          3.0911484520154          3.0906861749646
10.25                    3.0911484520154          3.0768514871119          3.0911484520154          3.0907290362107
10.3                     3.0911484520154          3.0783277060375          3.0911484520154          3.0907723425735
10.35                    3.0911484520154          3.0798172872898          3.0911484520154          3.0908160409335
10.4                     3.0911484520154          3.0813185209128          3.0911484520154          3.0908600811275
10.45                    3.0911484520154          3.082829765132           3.0911484520154          3.0909044149924
10.5                     3.0911484520154          3.0843494243375          3.0911484520154          3.0909489957194
10.55                    3.0911484520154          3.0858759342875          3.0911484520154          3.0909937774198
10.6                     3.0911484520154          3.087407752259           3.0911484520154          3.0910387148363
10.65                    3.0911484520154          3.0889433505967          3.0911484520154          3.0910837631537
10.7                     3.0911484520154          3.0904812126038          3.0911484520154          3.0911288778781
10.75                    3.0911484520154          3.0920198300539          3.0911484520154          3.0911740147642
10.8                     3.0911484520154          3.0935577018288          3.0911484520154          3.0912191297751
10.85                    3.0911484520154          3.0950933333423          3.0911484520154          3.0912641790657
10.9                     3.0911484520154          3.0966252365143          3.0911484520154          3.0913091189817
10.95                    3.0911484520154          3.098151930134           3.0911484520154          3.0913539060703
11                       3.0911484520154          3.0996719404962          3.0911484520154          3.0913984970987
11.05                    3.0911484520154          3.1011838022331          3.0911484520154          3.0914428490791
11.1                     3.0911484520154          3.1026860592838          3.0911484520154          3.0914869192964
11.15                    3.0911484520154          3.1041772659609          3.0911484520154          3.0915306653399
11.2                     3.0911484520154          3.1056559880866          3.0911484520154          3.0915740451366
11.25                    3.0911484520154          3.1071208041752          3.0911484520154          3.0916170169857
11.3                     3.0911484520154          3.1085703066479          3.0911484520154          3.0916595395945
11.35                    3.0911484520154          3.1100031030667          3.0911484520154          3.0917015721145
11.4                     3.0911484520154          3.1114178173791          3.0911484520154          3.0917430741777
11.45                    3.0911484520154          3.1128130911667          3.0911484520154          3.0917840059337
11.5                     3.0911484520154          3.1141875848915          3.0911484520154          3.0918243280857
11.55                    3.0911484520154          3.115539979136           3.0911484520154          3.0918640019273
11.6                     3.0911484520154          3.116868975833           3.0911484520154          3.0919029893783
11.65                    3.0911484520154          3.1181732994822          3.0911484520154          3.0919412530207
11.7                     3.0911484520154          3.1194516983507          3.0911484520154          3.0919787561337
11.75                    3.0911484520154          3.1207029456552          3.0911484520154          3.0920154627283
11.8                     3.0911484520154          3.1219258407244          3.0911484520154          3.0920513375817
11.85                    3.0911484520154          3.1231192101383          3.0911484520154          3.0920863462704
11.9                     3.0911484520154          3.1242819088446          3.0911484520154          3.0921204552031
11.95                    3.0911484520154          3.1254128212492          3.0911484520154          3.0921536316527
12                       3.0911484520154          3.12651086228            3.0911484520154          3.0921858437876
12.05                    3.0911484520154          3.1275749784229          3.0911484520154          3.092217060702
12.1                     3.0911484520154          3.1286041487282          3.0911484520154          3.0922472524451
12.15                    3.0911484520154          3.1295973857866          3.0911484520154          3.0922763900504
12.2                     3.0911484520154          3.1305537366741          3.0911484520154          3.0923044455628
12.25                    3.0911484520154          3.1314722838635          3.0911484520154          3.0923313920659
12.3                     3.0911484520154          3.1323521461032          3.0911484520154          3.0923572037072
12.35                    3.0911484520154          3.1331924792611          3.0911484520154          3.0923818557232
12.4                     3.0911484520154          3.1339924771334          3.0911484520154          3.0924053244631
12.45                    3.0911484520154          3.1347513722167          3.0911484520154          3.0924275874115
12.5                     3.0911484520154          3.1354684364444          3.0911484520154          3.0924486232098
12.55                    3.0911484520154          3.1361429818836          3.0911484520154          3.0924684116768
12.6                     3.0911484520154          3.1367743613957          3.0911484520154          3.0924869338281
12.65                    3.0911484520154          3.1373619692563          3.0911484520154          3.092504171894
12.7                     3.0911484520154          3.1379052417363          3.0911484520154          3.0925201093371
12.75                    3.0911484520154          3.1384036576429          3.0911484520154          3.0925347308676
12.8                     3.0911484520154          3.1388567388195          3.0911484520154          3.0925480224583
12.85                    3.0911484520154          3.1392640506045          3.0911484520154          3.0925599713581
12.9                     3.0911484520154          3.1396252022487          3.0911484520154          3.0925705661038
12.95                    3.0911484520154          3.1399398472907          3.0911484520154          3.0925797965317
13                       3.0911484520154          3.1402076838897          3.0911484520154          3.0925876537869
13.05                    3.0911484520154          3.1404284551158          3.0911484520154          3.0925941303323
13.1                     3.0911484520154          3.1406019491975          3.0911484520154          3.0925992199552
13.15                    3.0911484520154          3.1407279997262          3.0911484520154          3.0926029177738
13.2                     3.0911484520154          3.1408064858169          3.0911484520154          3.092605220242
13.25                    3.0911484520154          3.1408373322267          3.0911484520154          3.0926061251524
13.3                     3.0911484520154          3.1408205094285          3.0911484520154          3.0926056316387
13.35                    3.0911484520154          3.140756033643           3.0911484520154          3.0926037401769
13.4                     3.0911484520154          3.1406439668258          3.0911484520154          3.0926004525844
13.45                    3.0911484520154          3.140484416613           3.0911484520154          3.0925957720189
13.5                     3.0911484520154          3.140277536223           3.0911484520154          3.0925897029752
13.55                    3.0911484520154          3.1400235243162          3.0911484520154          3.0925822512811
13.6                     3.0911484520154          3.1397226248125          3.0911484520154          3.0925734240924
13.65                    3.0911484520154          3.1393751266677          3.0911484520154          3.0925632298858
13.7                     3.0911484520154          3.1389813636087          3.0911484520154          3.0925516784515
13.75                    3.0911484520154          3.1385417138289          3.0911484520154          3.0925387808843
13.8                     3.0911484520154          3.138056599645           3.0911484520154          3.0925245495732
13.85                    3.0911484520154          3.1375264871161          3.0911484520154          3.0925089981904
13.9                     3.0911484520154          3.1369518856267          3.0911484520154          3.0924921416794
13.95                    3.0911484520154          3.1363333474363          3.0911484520154          3.0924739962413
14                       3.0911484520154          3.1356714671967          3.0911484520154          3.0924545793206
14.05                    3.0911484520154          3.1349668814428          3.0911484520154          3.0924339095908
14.1                     3.0911484520154          3.1342202680577          3.0911484520154          3.0924120069384
14.15                    3.0911484520154          3.1334323457208          3.0911484520154          3.0923888924463
14.2                     3.0911484520154          3.1326038733429          3.0911484520154          3.0923645883782
14.25                    3.0911484520154          3.1317356495012          3.0911484520154          3.092339118161
14.3                     3.0911484520154          3.1308285118831          3.0911484520154          3.0923125063692
14.35                    3.0911484520154          3.1298833367597          3.0911484520154          3.092284778709
14.4                     3.0911484520154          3.1289010385105          3.0911484520154          3.0922559620046
14.45                    3.0911484520154          3.1278825692337          3.0911484520154          3.0922260841869
14.5                     3.0911484520154          3.1268289184888          3.0911484520154          3.0921951742855
14.55                    3.0911484520154          3.125741113237           3.0911484520154          3.0921632624274
14.6                     3.0911484520154          3.1246202180751          3.0911484520154          3.0921303798436
14.65                    3.0911484520154          3.1234673358963          3.0911484520154          3.0920965588886
14.7                     3.0911484520154          3.1222836091749          3.0911484520154          3.092061833078
14.75                    3.0911484520154          3.1210702221559          3.0911484520154          3.0920262371529
14.8                     3.0911484520154          3.1198284043613          3.0911484520154          3.0919898071824
14.85                    3.0911484520154          3.1185594360116          3.0911484520154          3.0919525807231
14.9                     3.0911484520154          3.1172646562396          3.0911484520154          3.0919145970599
14.95                    3.0911484520154          3.1159454753813          3.0911484520154          3.0918758975663
15                       3.0911484520154          3.114603393233           3.0911484520154          3.0918365262404
15.05                    3.0911484520154          3.1132400260518          3.0911484520154          3.0917965304968
15.1                     3.0911484520154          3.1118571463955          3.0911484520154          3.0917559623351
15.15                    3.0911484520154          3.110456741842           3.0911484520154          3.0917148800629
15.2                     3.0911484520154          3.1090411015062          3.0911484520154          3.0916733508339
15.25                    3.0911484520154          3.1076129435396          3.0911484520154          3.0916314543875
15.3                     3.0911484520154          3.1061756031023          3.0911484520154          3.0915892885642
15.35                    3.0911484520154          3.1047333096529          3.0911484520154          3.0915469774393
15.4                     3.0911484520154          3.1032915962496          3.0911484520154          3.0915046833306
15.45                    3.0911484520154          3.1018579040909          3.0911484520154          3.0914626245332
15.5                     3.0911484520154          3.1004424759504          3.0911484520154          3.0914211015291
15.55                    3.0911484520154          3.0990596772807          3.0911484520154          3.0913805357432
15.6                     3.0911484520154          3.097729950649           3.0911484520154          3.0913415268788
15.65                    3.0911484520154          3.0964827083563          3.0911484520154          3.0913049377752
