model,wavelength_nm,abs_integral_F,integral_abs_F,coherence_ratio
demo21,600.0,4.27587367411377,4.275983584216687,0.9999742959483469
demo21,1330.0,32.682196970346176,77.35621378691951,0.42248961486624037
demo21,1520.0,28.30991784376376,28.74395978229253,0.984899716607725
demo21,1550.0,18.047520507860806,18.337372196830856,0.9841933900965296
hybrid,600.0,24.031117049512027,79.7659999179296,0.3012701787006668
hybrid,1330.0,47.95502534929642,154.8421069667979,0.30970274357981453
hybrid,1520.0,54.70553077614054,55.346986246767386,0.9884102908915965
hybrid,1550.0,38.292585198868125,38.72552870941644,0.9888202040107192
