model,wavelength_nm,k_per_nm,F_real,F_imag,cumulative_real_pm_per_V,cumulative_imag_pm_per_V,cumulative_magnitude_pm_per_V
demo21,600.0,0.0,0.8571614323831225,0.012085423314880318,0.0,0.0,0.0
demo21,600.0,0.005849625676129089,0.8572365834358824,0.012087278396937674,0.0002646951678584041,3.732276767056553e-06,0.0002647214796299209
demo21,600.0,0.011699251352258178,0.8574621058004741,0.012092846151047835,0.0010589199437915744,1.4932545460001038e-05,0.001059025225513286
demo21,600.0,0.01754887702838727,0.8578382072517627,0.01210213410852605,0.0023830923587111847,3.361112900504899e-05,0.0023833293725670046
demo21,600.0,0.023398502704516357,0.8583652346015662,0.012115154846606361,0.0042379098442708405,5.978525814800337e-05,0.004238331526114907
demo21,600.0,0.029248128380645444,0.8590436744815573,0.012131926026142405,0.0066243503054328814,9.347911037129689e-05,0.0066250098349485125
demo21,600.0,0.03509775405677454,0.8598741544438653,0.012152470444664588,0.009543673626806155,0.00013472386460639283,0.009544624498359787
demo21,600.0,0.040947379732903626,0.8608574443840877,0.012176816105072673,0.012997423617529688,0.00018355777197193372,0.012998719711924319
demo21,600.0,0.04679700540903271,0.861994458292664,0.012204996300326482,0.016987430400885753,0.00024002624283651328,0.016989126058222878
demo21,600.0,0.0526466310851618,0.8632862563420718,0.012237049714583396,0.02151581325626763,0.00030418195057546333,0.02151796335013232
demo21,600.0,0.05849625676129089,0.8647340473187215,0.012273020541322111,0.026584983922611393,0.0003760849524640882,0.02658764393580176
demo21,600.0,0.06434588243741998,0.8663391914099947,0.012312958619086455,0.032197650373934565,0.0004558028282258612,0.03220087647596487
demo21,600.0,0.07019550811354908,0.8681032033584004,0.012356919585582785,0.038356821079217195,0.0005434108368337677,0.03836067020583281
demo21,600.0,0.07604513378967816,0.8700277559966143,0.01240496505097119,0.04506580976052157,0.0006389920922468248,0.045070339695474616
demo21,600.0,0.08189475946580725,0.872114684178886,0.012457162791303347,0.05232824066498577,0.0007426377588524574,0.05233351012433184
demo21,600.0,0.08774438514193633,0.874365989126134,0.012513586963181143,0.06014805436815333,0.0008544472674795324,0.060154123087343164
demo21,600.0,0.09359401081806543,0.8767838432042285,0.012574318340841887,0.06852951412802884,0.0009745285529472044,0.06853644295208362
demo21,600.0,0.09944363649419452,0.8793705951569202,0.012639444577015588,0.07747721281128865,0.0011029983142220813,0.07748506378836433
demo21,600.0,0.1052932621703236,0.8821287758173686,0.01270906048905436,0.08699608041524076,0.0012399822983714776,0.08700491689390498
demo21,600.0,0.1111428878464527,0.8850611043245731,0.012783268371999834,0.09709139221143248,0.0013856156096246411,0.09710127894199874
demo21,600.0,0.11699251352258178,0.888170494873812,0.012862178340437208,0.10776877753926399,0.0015400430449878703,0.10777978077954968
demo21,600.0,0.12284213919871087,0.8914600640330379,0.012945908701182927,0.11903422928059941,0.001703419458004585,0.11904641690650004
demo21,600.0,0.12869176487483996,0.8949331386603898,0.013034586359071978,0.13089411404918877,0.001875910152408938,0.13090755567048812
demo21,600.0,0.13454139055096906,0.8985932644613746,0.013128347258350978,0.14335518313175144,0.0020576913075929354,0.14336995021361812
demo21,600.0,0.14039101622709815,0.9024442152281045,0.013227336862447585,0.1564245842208399,0.002248950437993871,0.15644075021149442
demo21,600.0,0.14624064190322722,0.9064900028069522,0.013331710675179943,0.17010987398313196,0.0024498868887129614,0.17012751444820595
demo21,600.0,0.15209026757935631,0.9107348878456456,0.013441634806791915,0.18441903151061664,0.002660712369899431,0.18443822427476672
demo21,600.0,0.1579398932554854,0.9151833913755207,0.013557286588559647,0.1993604727062699,0.0028816515326791406,0.19938129800265414
demo21,600.0,0.1637895189316145,0.9198403072902999,0.013678855240111396,0.21494306566030444,0.0031129425896757974,0.2149656062885795
demo21,600.0,0.1696391446077436,0.9247107157884416,0.013806542594046432,0.2311761470779491,0.0033548379834685343,0.23120048857150124
demo21,600.0,0.17548877028387266,0.9297999978529241,0.01394056388293001,0.24806953982501947,0.0036076051066555714,0.24809577062820418
demo21,600.0,0.18133839596000176,0.9351138508492882,0.014081148594291909,0.265633571663325,0.003871527077553205,0.26566178331955664
demo21,600.0,0.18718802163613085,0.9406583053309159,0.014228541399869604,0.28387909525426763,0.004146903575956714,0.2839093826058763
demo21,600.0,0.19303764731225995,0.9464397431492975,0.014383003166024342,0.3028175095158921,0.004434051743829546,0.30284997091674676
demo21,600.0,0.19888727298838904,0.9524649169767843,0.014544812053028183,0.3224607824262004,0.004733307156274394,0.32249551996818965
demo21,600.0,0.2047368986645181,0.9587409713602484,0.014714264711784344,0.3428214753738247,0.0050450248686807735,0.34285859512838746
demo21,600.0,0.2105865243406472,0.9652754654360769,0.014891677587513825,0.36391276916624615,0.005369580546544811,0.3639523814422587
demo21,600.0,0.2164361500167763,0.9720763974504019,0.015077388341036134,0.38574849181573967,0.005707371685126184,0.3857907114351899
demo21,600.0,0.2222857756929054,0.9791522312434031,0.015271757399503663,0.4083431482342255,0.00605881892685311,0.40838809482724525
demo21,600.0,0.22813540136903449,0.9865119248732728,0.015475169649842135,0.43171195198033396,0.006424367485218964,0.4317597503013167
demo21,600.0,0.23398502704516355,0.9941649615740369,0.015688036289725614,0.4558708592153722,0.0068044886848451416,0.45592163948207576
demo21,600.0,0.23983465272129265,1.0021213832624412,0.01591079685269757,0.48083660503967546,0.007199681628427163,0.48089050329740507
demo21,600.0,0.24568427839742174,1.010391826832469,0.016143921426076444,0.5066267423971955,0.0076104750024499354,0.5066839009103774
demo21,600.0,0.2515339040735508,1.0189875635024235,0.01638791308258518,0.5332596837543278,0.00803742903487093,0.5333202514280292
demo21,600.0,0.25738352974967993,1.027920541509145,0.01664331054926721,0.5607547457791203,0.008481137619446848,0.5608188786133415
