combo_id,closeness_rank,chi2_1550_pm_per_V,percent_error,ratio_to_paper,ratio_to_demo18b,chi_e_abs,chi_hh_raw_abs,chi_hh_weighted_abs,cancellation_factor,peak_wavelength_nm,bound_state_pass,solver_pass,physical_valid,spectral_match_flag
Combo_00,18,84.91053828525659,96.37134451772407,0.03628655482275923,1.0000116108108756,5594.043851176905,5550.484674840328,5550.484674840328,131.25023997112393,1520.0,True,True,True,SPECTRAL_MATCH
Combo_01,8,1624.1285009265855,30.592799105701474,0.6940720089429853,19.127747758695527,10798.318613475974,10726.136987885557,12420.963167204365,14.296456079327129,1520.0,True,True,True,SPECTRAL_MATCH
Combo_02,11,3458.797949904566,47.81187820104982,1.4781187820104982,40.73508635328005,7926.905518905504,7981.234676191024,4468.126627537345,3.583624231876525,1517.0,True,True,True,SPECTRAL_MATCH
Combo_03,5,1817.2524254868433,22.339639936459687,0.7766036006354031,21.402214165171657,7070.030260053264,7111.941727843977,8887.238845831846,8.780986549851567,1518.0,True,True,True,SPECTRAL_MATCH
Combo_04,14,790.5111503756204,66.21747220617007,0.33782527793829936,9.310037891826017,6559.146692230184,6588.725344726751,7349.624291162521,17.59465502388397,1522.0,True,True,True,SPECTRAL_MATCH
Combo_05,16,350.11987687362307,85.03761209941781,0.14962387900582183,4.123445088441877,4645.7136441992225,4680.023951051104,4995.738366789012,27.53757397917842,1515.0,True,True,True,SPECTRAL_MATCH
Combo_06,9,3208.235854373299,37.10409634073927,1.3710409634073928,37.78415694192008,9709.890276321685,9783.00676379562,6501.708031164459,5.053119235416355,1511.0,True,True,True,SPECTRAL_MATCH
Combo_07,4,1954.4741280010403,16.475464615340158,0.8352453538465984,23.018306802677166,6034.696810834544,5974.522899583815,4081.674554537671,5.1760067940724515,1662.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_08,3,1974.2044615122948,15.632287969560055,0.8436771203043995,23.25067563456633,8326.975209836588,8300.663090441954,6353.194718814824,7.435992682037604,1664.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_09,7,1719.5284874957204,26.515876602746996,0.7348412339725301,20.251296097534656,4574.84026677435,4549.900262898861,6293.635888954061,6.320614188577356,1664.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_10,12,999.8690030916541,57.270555423433585,0.42729444576566417,11.77569513247525,4846.535631454014,4827.47355605137,3846.9798845024447,8.694654488813628,1665.0,True,True,True,SPECTRAL_MISMATCH
Combo_11,15,552.484190507176,76.38956450824034,0.23610435491759657,6.506737755454263,5725.019192902996,5694.672528422309,5174.28765810255,19.727816719968168,1663.0,True,True,True,SPECTRAL_MISMATCH
Combo_12,10,3291.082660473733,40.644558139903125,1.4064455813990313,38.759863487799045,7531.682139737274,7498.850904297794,10822.17665036268,5.576845276641584,1662.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_13,17,337.0467132301508,85.59629430640382,0.14403705693596186,3.9694793299210303,4556.363170510413,4541.502323919459,4220.463524641592,26.040386541787132,1663.0,True,True,True,SPECTRAL_MISMATCH
Combo_14,6,1725.3211526870148,26.26832680824723,0.7373167319175277,20.319517693650013,6128.103958651447,6061.406730451366,7852.3645156911,8.103110804947454,1663.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_15,19,57.15219895728697,97.55759833515867,0.024424016648413236,0.673095044441426,2660.735035338558,2650.3889815643684,2605.7749838376953,92.14886067834784,1665.0,True,True,True,SPECTRAL_MISMATCH
Combo_16,1,2264.456953247341,3.228335331310211,0.9677166466868979,26.6690482849283,5594.043851176905,5550.484674840328,3330.290804904197,3.941048489918598,1663.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_17,2,2178.3424767739116,6.908441163508052,0.9309155883649195,25.654857607641286,5594.043851176905,5550.484674840328,7770.678544776459,6.13527144535431,1663.0,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH
Combo_18,13,3863.335023515954,65.09978732974163,1.6509978732974162,45.499415714328094,15862.686687452775,15999.261628438377,11999.446221328782,7.211938063664154,1524.0,True,True,True,SPECTRAL_MATCH
Combo_19,20,23.907115462277748,98.97832839904795,0.010216716009520404,0.2815597866422325,1507.5331379440265,1493.1109400952869,1493.1109400952869,125.51259405485078,1520.0,True,True,True,SPECTRAL_MATCH
