combo_id,design_role,r_e_hh_nm,electrostatic_field_kV_per_cm,hh_relative_weight,wells_per_period_for_Nz,spin_degeneracy,kmax_fraction_2pi_over_a,well1_nm,well2_nm,tunneling_barrier_nm,electron_mass_scale,hh_mass_scale,cb_offset_scale,hh_offset_scale,solver_case_id,requires_new_nextnano_solve,period_barrier_nm,broadening_meV,states_per_band,target_wavelength_nm,chi2_1550_pm_per_V,paper_target_pm_per_V,absolute_error_pm_per_V,percent_error,ratio_to_paper,ratio_to_demo18b,chi_e_real,chi_e_imag,chi_e_abs,chi_e_raw_real,chi_e_raw_imag,chi_e_raw_abs,chi_hh_raw_real,chi_hh_raw_imag,chi_hh_raw_abs,chi_hh_weighted_real,chi_hh_weighted_imag,chi_hh_weighted_abs,chi_total_real,chi_total_imag,chi_total_abs,chi_total_after_weight_real,chi_total_after_weight_imag,chi_total_after_weight_abs,chi_total_raw_unweighted_real,chi_total_raw_unweighted_imag,chi_total_raw_unweighted_abs,cancellation_factor,raw_cancellation_factor,delta_z_e_nm,delta_z_hh_nm,O11,O12,O21,O22,z_e11_nm,z_e12_nm,z_e21_nm,z_e22_nm,z_hh11_nm,z_hh12_nm,z_hh21_nm,z_hh22_nm,transition_e1_hh1_eV,transition_e1_hh2_eV,transition_e2_hh1_eV,transition_e2_hh2_eV,peak_chi2_pm_per_V,peak_wavelength_nm,electron_orthonormality_error,hh_orthonormality_error,orthonormality_pass,bound_state_pass,solver_pass,physical_valid,spectral_match_flag,selected_electron_states,selected_heavy_hole_states
Combo_00,baseline_demo18b_converged,0.751,0.0,1.0,2,2,0.1,7.1,2.9,1.8,1.0,1.0,1.0,1.0,Solve_00,True,18.2,5.0,2,1550.0,84.91053828525659,2340.0,2255.0894617147433,96.37134451772407,0.03628655482275923,1.0000116108108756,2918.533250443399,-4772.367365883146,5594.043851176905,2918.533250443399,-4772.367365883146,5594.043851176905,-2833.6232818745902,4772.678411757451,5550.484674840328,-2833.6232818745902,4772.678411757451,5550.484674840328,84.90996856880884,0.3110458743049094,84.91053828525659,84.90996856880884,0.3110458743049094,84.91053828525659,84.90996856880884,0.3110458743049094,84.91053828525659,131.25023997112393,131.25023997112393,6.12521552407253,0.319391472091894,0.9816465917796985,0.020461928073581215,-0.08551048643041244,0.45081628193777923,63.61108467764518,1.0299145818605986,1.0299145818605986,69.73630020171771,63.55102288391265,1.4510322677788023,1.451032267778806,63.870414356004545,1.4890044887679998,1.5220478880709998,1.5964786648559999,1.6295220641589998,146.0814424756297,1520.0,2.0011770018868447e-14,1.0766387781302456e-13,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_01,maximin_latin_hypercube,0.852516,4.57899,1.158009,2,2,0.125,7.167789,2.952,1.705461,1.0,1.0,1.0,1.0,Solve_01,True,18.174750000000003,5.0,2,1550.0,1624.1285009265855,2340.0,715.8714990734145,30.592799105701474,0.6940720089429853,19.127747758695527,8672.396140166788,-6433.757072361519,10798.318613475974,8672.396140166788,-6433.757072361519,10798.318613475974,-8575.967871799245,6442.265885909535,10726.136987885557,-9931.047979254372,7460.201876276215,12420.963167204365,-1258.6518390875844,1026.4448039146964,1624.1285009265855,-1258.6518390875844,1026.4448039146964,1624.1285009265855,96.42826836754284,8.508813548016406,96.8029485519825,14.296456079327129,222.3533055896851,5.969787023175428,4.870998862770939,0.9814932965522505,0.055272050830503835,-0.07974167010468358,0.9306111353376917,63.63869373314019,1.1092146234858742,1.1092146234858742,69.60848075631561,63.65155833467244,0.8358007374857435,0.8358007374857452,68.52255719744338,1.4878769860860002,1.5192877345850002,1.595778260258,1.627189008757,2168.659129715484,1520.0,2.220446049250313e-16,1.582067810090848e-15,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_02,maximin_latin_hypercube,0.714726,12.932406,0.559829,2,2,0.2,7.189786,2.908121,1.774727,1.0,1.0,1.0,1.0,Solve_02,True,18.127366000000002,5.0,2,1550.0,3458.797949904566,2340.0,1118.797949904566,47.81187820104982,1.4781187820104982,40.73508635328005,6543.831983627947,-4473.7114430529,7926.905518905504,6543.831983627947,-4473.7114430529,7926.905518905504,-6597.3600474535815,4491.653076618598,7981.234676191024,-3693.393478005891,2514.557650230313,4468.126627537345,2850.438505622056,-1959.153792822587,3458.797949904566,2850.438505622056,-1959.153792822587,3458.797949904566,-53.52806382563449,17.941633565697884,56.45490086721415,3.583624231876525,281.7849283362233,5.9549063843805214,6.544789569904182,0.9806373525172918,0.053092164701168024,-0.048692848994851615,0.9356899909406565,63.59842147917418,1.0904682958460992,1.0904682958460992,69.5533278635547,63.778310877613876,0.2662949303728954,0.26629493037289587,70.32310044751806,1.4875711450970002,1.514939886505,1.603499215681,1.630867957089,4719.583978340922,1517.0,1.1102230246251565e-16,2.220446049250313e-16,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_03,maximin_latin_hypercube,0.670296,11.496125,1.249622,2,2,0.2,7.086018,2.921867,1.757685,1.0,1.0,1.0,1.0,Solve_03,True,18.234430000000003,5.0,2,1550.0,1817.2524254868433,2340.0,522.7475745131567,22.339639936459687,0.7766036006354031,21.402214165171657,5865.9880179164165,-3946.582376148996,7070.030260053264,5865.9880179164165,-3946.582376148996,7070.030260053264,-5907.076287199081,3960.576331477364,7111.941727843977,-7381.6124841622905,4949.223316493407,8887.238845831846,-1515.624466245874,1002.6409403444109,1817.2524254868433,-1515.624466245874,1002.6409403444109,1817.2524254868433,-41.08826928266444,13.993955328367974,43.405951877330196,8.780986549851567,326.7287405187425,5.989325729518555,6.515562506323356,0.9806505219064159,0.0594945397985329,-0.05906922082466337,0.9402949785561082,63.560404942382576,1.069367022935662,1.069367022935662,69.54973067190113,63.699086119855046,0.25697500925701355,0.25697500925701355,70.2146486261784,1.488979425867,1.516558483172,1.602000673739,1.6295797310440001,2478.601338635117,1518.0,5.828670879282072e-16,1.0408340855860843e-17,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_04,maximin_latin_hypercube,0.902864,8.563815,1.115485,1,2,0.175,7.116798,2.991329,1.885031,1.0,1.0,1.0,1.0,Solve_04,True,18.006842,5.0,2,1550.0,790.5111503756204,2340.0,1549.4888496243796,66.21747220617007,0.33782527793829936,9.310037891826017,5464.884716300423,-3627.31861955084,6559.146692230184,5464.884716300423,-3627.31861955084,6559.146692230184,-5493.347856554588,3637.91574876766,6588.725344726751,-6127.747133768796,4058.040449014093,7349.624291162521,-662.8624174683728,430.721829463253,790.5111503756204,-662.8624174683728,430.721829463253,790.5111503756204,-28.46314025416541,10.597129216819667,30.371853759134694,17.59465502388397,432.8965937089881,6.361475943826726,6.755534422183267,0.9816616164662084,0.05756800695095931,-0.06229422910713755,0.9468608373172753,63.5755866354179,0.9560487462945355,0.9560487462945355,69.93706257924462,63.67489542794322,0.21058787310393745,0.21058787310393745,70.43042985012649,1.4887578589630002,1.5165470399120002,1.5972204614489998,1.6250096423979998,1064.2769246823277,1522.0,6.661338147750939e-15,1.1830814106161824e-15,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_05,maximin_latin_hypercube,0.796366,19.653938,1.06746,2,1,0.15,7.021582,2.867634,1.870783,1.0,1.0,1.0,1.0,Solve_05,True,18.240001,5.0,2,1550.0,350.11987687362307,2340.0,1989.880123126377,85.03761209941781,0.14962387900582183,4.123445088441877,3749.206079006078,-2743.375483057813,4645.7136441992225,3749.206079006078,-2743.375483057813,4645.7136441992225,-3781.5722638754078,2757.2332863760744,4680.023951051104,-4036.677128796443,2943.2362438750047,4995.738366789012,-287.47104979036476,199.86076081719148,350.11987687362307,-287.47104979036476,199.86076081719148,350.11987687362307,-32.36618486932957,13.857803318261176,35.20807628660261,27.53757397917842,264.87495423880796,6.0567705753989145,6.549508419954321,0.978207717486821,0.04789530409709686,-0.03205000601355508,0.9231518979673256,63.48306514808078,1.012388508826362,1.012388508826361,69.5398357234797,63.76489795646468,0.16844844916437762,0.1684484491643774,70.314406376419,1.489792202311,1.512848500902,1.6101002588659998,1.633156557457,491.11919031645374,1515.0,1.304512053934559e-15,4.440892098500626e-16,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_06,maximin_latin_hypercube,0.832779,16.317429,0.664592,2,2,0.125,7.121634,2.82338,1.820115,1.0,1.0,1.0,1.0,Solve_06,True,18.234871,5.0,2,1550.0,3208.235854373299,2340.0,868.2358543732989,37.10409634073927,1.3710409634073928,37.78415694192008,7638.6664230876795,-5994.392751146631,9709.890276321685,7638.6664230876795,-5994.392751146631,9709.890276321685,-7710.263106177472,6021.549981025597,9783.00676379562,-5124.179178260698,4001.8739449897635,6501.708031164459,2514.4872448269816,-1992.5188061568674,3208.235854373299,2514.4872448269816,-1992.5188061568674,3208.235854373299,-71.59668308979235,27.157229878966064,76.57414814517472,5.053119235416355,254.56237532229918,5.88649929108535,6.522229886909116,0.9795762902517451,0.048252260068729444,-0.03640482050185086,0.9249013559965437,63.53953740561841,1.0772120391696696,1.0772120391696696,69.42603669670376,63.776044600108236,0.22397282469375157,0.2239728246937518,70.29827448701735,1.4886309685329997,1.515451152568,1.6100484268799997,1.636868610915,4531.228180696738,1511.0,1.942890293094024e-15,2.220446049250313e-16,True,True,True,True,SPECTRAL_MATCH,"[1, 2]","[1, 2]"
Combo_07,maximin_latin_hypercube,0.767897,0.582619,0.68318,2,2,0.1,7.034685,2.88371,1.740274,1.0,1.0,1.0,1.0,Solve_07,True,18.341331,5.0,2,1550.0,1954.4741280010403,2340.0,385.5258719989597,16.475464615340158,0.8352453538465984,23.018306802677166,3385.5073271813417,-4995.588627609169,6034.696810834544,3385.5073271813417,-4995.588627609169,6034.696810834544,-3276.30682916359,4996.07220112234,5974.522899583815,-2238.3072995479815,3413.21660636276,4081.674554537671,1147.2000276333602,-1582.3720212464086,1954.4741280010403,1147.2000276333602,-1582.3720212464086,1954.4741280010403,109.20049801775167,0.4835735131709953,109.20156871889537,5.1760067940724515,109.9729596498038,5.996474448339576,0.5648942811642073,0.9811749468945188,-0.024829050852895662,-0.08839510325032554,-0.5222717476888379,63.580051820515244,1.0602290629072186,1.0602290629072186,69.57652626885482,63.52375535027884,-1.4157079232023202,-1.4157079232023229,64.08864963144305,1.489922377761,1.523459693633,1.59815146839,1.631688784262,2855.8852704541723,1662.0,1.4988010832439613e-15,5.856426454897701e-15,True,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH,"[1, 2]","[1, 2]"
Combo_08,maximin_latin_hypercube,0.941406,-18.418271,0.765384,2,2,0.1,7.096001,2.858181,1.805476,1.0,1.0,1.0,1.0,Solve_08,True,18.240342,5.0,2,1550.0,1974.2044615122948,2340.0,365.79553848770524,15.632287969560055,0.8436771203043995,23.25067563456633,3620.426241965409,-7498.7352248043335,8326.975209836588,3620.426241965409,-7498.7352248043335,8326.975209836588,-3566.8828018104637,7495.2221327439065,8300.663090441954,-2730.0350263808996,5736.723096848062,6353.194718814824,890.3912155845096,-1762.0121279562718,1974.2044615122948,890.3912155845096,-1762.0121279562718,1974.2044615122948,53.54344015494553,-3.5130920604269704,53.65856687847029,7.435992682037604,309.87853883496354,6.120151131208303,0.31392751629047666,0.975134172297676,0.09996696269713412,-0.12387956844144254,0.24860156409511627,63.70269791711475,1.048280195817508,1.048280195817508,69.82284904832305,63.31297078056426,1.4654715800694627,1.4654715800694627,63.62689829685473,1.488521304766,1.521913979873,1.587236439103,1.62062911421,2981.2876426283,1664.0,2.7755575615628914e-16,3.094746681142624e-15,True,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH,"[1, 2]","[1, 2]"
Combo_09,maximin_latin_hypercube,0.962101,-2.03342,1.383247,1,2,0.125,7.136079,2.801561,1.781699,1.0,1.0,1.0,1.0,Solve_09,True,18.280661000000002,5.0,2,1550.0,1719.5284874957204,2340.0,620.4715125042796,26.515876602746996,0.7348412339725301,20.251296097534656,2393.9690876964273,-3898.4709148144148,4574.84026677435,2393.9690876964273,-3898.4709148144148,4574.84026677435,-2344.5428188933656,3899.3219119101564,4549.900262898861,-3243.081820605791,5393.725336683988,6293.635888954061,-849.1127329093638,1495.254421869573,1719.5284874957204,-849.1127329093638,1495.254421869573,1719.5284874957204,49.4262688030617,0.8509970957416044,49.43359428414519,6.320614188577356,184.58581986217789,5.918592301857345,0.09734489388812761,0.9816226760729104,0.02218408807932626,-0.0893633876523392,0.3769994563023271,63.642814719437794,1.090660935717045,1.090660935717045,69.56140702129514,63.54700291139158,1.4803574953318686,1.4803574953318712,63.64434780527971,1.4883446639570002,1.5210943816840001,1.599989328779,1.6327390465059999,2640.797725594992,1664.0,5.273559366969494e-16,2.914335439641036e-15,True,True,True,True,AMPLITUDE_MATCH_BUT_SPECTRAL_MISMATCH,"[1, 2]","[1, 2]"
