wavelength_nm,paper_pm_per_V,paper_normalized,demo21_real_pm_per_V,demo21_imag_pm_per_V,demo21_abs_pm_per_V,demo21_normalized,hybrid_real_pm_per_V,hybrid_imag_pm_per_V,hybrid_abs_pm_per_V,hybrid_normalized
400.0,100.0,0.02531645569620253,0.42727350631488875,0.0021384445759973806,0.4272788575904779,0.009472650468497542,2.7322168992397398,0.01747650201765658,2.7322727924960186,0.029127000046692143
401.0,101.6,0.02572151898734177,0.4313605599561167,0.0021707433607835902,0.4313660218566049,0.009563261735150623,2.7646979822488618,0.017821985891034293,2.764755424306466,0.029473276458351346
402.0,103.2,0.026126582278481015,0.4354872316945953,0.0022035443118667776,0.43549280657268785,0.009654751375884636,2.797636826620717,0.018175429042616913,2.797695866223725,0.029824433288627276
403.0,104.8,0.026531645569620253,0.43965397930887523,0.0022368560747363765,0.4396596695709398,0.009747129540709228,2.8310422521986145,0.01853705891081142,2.8311029398958394,0.030180564579426614
404.0,106.4,0.026936708860759495,0.4438612673385118,0.002270687467469455,0.44386707544593207,0.009840406529553604,2.864923312989608,0.018907111080677063,2.8649857012140165,0.03054176686977151
405.0,108.0,0.027341772151898733,0.4481095672086547,0.002305047484762034,0.448115495679222,0.009934592795029484,2.89928930529942,0.01928582964238761,2.8993534484516696,0.030908139282564653
406.0,109.6,0.027746835443037972,0.45239935735741654,0.002339945302069576,0.45240540876676105,0.010029698945255712,2.934149776220345,0.01967346756857469,2.9342157307566996,0.03127978361512003
407.0,111.2,0.028151898734177217,0.456731123366098,0.0023753902798600833,0.45673730034916077,0.010125735746746198,2.9695145324906402,0.020070287111716534,2.96958235701552,0.03165680443365658
408.0,112.8,0.028556962025316456,0.46110535809233344,0.002411391967983258,0.4611116633448804,0.010222714127362675,3.0053936497449345,0.020476560222817974,3.0054634051083933,0.03203930917196339
409.0,114.4,0.028962025316455697,0.465522561806252,0.0024479601101594075,0.4655289980864314,0.010320645179334285,3.0417974821765728,0.020892568992717808,3.041869231577001,0.03242740823445937
410.0,116.0,0.029367088607594936,0.46998324232971517,0.0024851046485917963,0.4699898124596598,0.010419540162345454,3.0787366726338976,0.0213186061174545,3.078810481726284,0.03282121510388257
411.0,117.6,0.029772151898734174,0.47448791517873135,0.0025228357287063953,0.4744946220462072,0.010519410506694202,3.116222163174104,0.02175497538922684,3.1162981001842036,0.03322084645386089
412.0,119.2,0.03017721518987342,0.47903710370911584,0.0025611637040229957,0.47904395026921803,0.010620267816522427,3.1542652060995717,0.022201992214597385,3.154343341944353,0.03362642226663029
413.0,120.8,0.030582278481012658,0.48363133926550034,0.002600099141161928,0.48363832854239885,0.010722123873120513,3.1928773755033815,0.022659984161710126,3.1929577839181604,0.03403806595618539
414.0,122.4,0.0309873417721519,0.4882711613337654,0.0026396528249906363,0.4882782964225017,0.010824990638307844,3.232070579352281,0.023129291538424614,3.2321533370249718,0.034455904497164035
415.0,124.0,0.03139240506329114,0.4929571176970086,0.002679835763914678,0.4929644017653445,0.01092888025789172,3.271857072137386,0.02361026800341391,3.2719422588503333,0.03488006855978914
416.0,125.6,0.031797468354430376,0.4976897645951238,0.00272065919531769,0.49769720088544483,0.011033805065206412,3.312249468124709,0.02410328121242792,3.3123371669046047,0.03531069265121014
417.0,127.2,0.03220253164556962,0.5024696668881091,0.002762134591155229,0.5024772587193842,0.01113977758473489,3.353260755239954,0.024608713502094495,3.3533510525163712,0.03574791526361174
418.0,128.8,0.03260759493670887,0.5072973982231921,0.002804273663707398,0.5073051489929911,0.011246810535815211,3.394904309624141,0.025126962613813284,3.3949972953972676,0.03619187902948018
419.0,130.4,0.0330126582278481,0.5121735412058906,0.002847088371495495,0.5121814543924617,0.011354916836434236,3.437193910899281,0.02565844246049892,3.437289678917474,0.03664273088444538
420.0,132.0,0.033417721518987344,0.5170986875751057,0.0028905909253679816,0.5171067667395145,0.011464109607110766,3.4801437581858403,0.02620358393914655,3.480242406133676,0.03710062223814472
421.0,133.6,0.03382278481012658,0.5220734383823692,0.0029347937947613863,0.5220816871707025,0.01157440217487081,3.523768486916793,0.026762835792431803,3.523870116614334,0.037565709153586396
422.0,135.2,0.03422784810126582,0.5270984041753561,0.00297970971414188,0.5271068263209913,0.011685808077317478,3.568083186496068,0.027336665522815076,3.56818790411013,0.038038152535522694
423.0,136.8,0.03463291139240507,0.5321742051857877,0.0030253516896335173,0.5321828045117306,0.011798341066798262,3.6131034188526345,0.02792556036290365,3.613211335120903,0.038518118328380084
424.0,138.4,0.035037974683544304,0.5373014715218404,0.0030717330058393348,0.5373102519431341,0.011912015114672244,3.6588452379451075,0.028530028306133232,3.6589564684140123,0.03900577772433195
425.0,140.0,0.035443037974683546,0.5424808433651986,0.0031188672328617845,0.5424898088914053,0.012026844415680337,3.7053252102757517,0.029150599202169274,3.705439875553089,0.03950130738214238
426.0,141.6,0.03584810126582278,0.5477129711728781,0.003166768233529134,0.5477221259106363,0.012142843392421308,3.752560436476945,0.029787825921796587,3.7526786625003195,0.04000488965745418
427.0,143.2,0.03625316455696202,0.5529985158839539,0.003215450170834825,0.5530078640396144,0.012260026699936628,3.800568574037983,0.030442285596472007,3.80069049236023,0.0405167128452457
428.0,144.8,0.03665822784810127,0.5583381491313439,0.0032649275155969544,0.5583476950136868,0.012378409230407455,3.8493678612449296,0.03111458093815765,3.8494936093377685,0.04103697143523259
429.0,146.4,0.037063291139240506,0.5637325534587794,0.003315215054345387,0.5637423014818137,0.012498006117966632,3.89897714241192,0.031805341645539734,3.899106863989215,0.04156586638105134
430.0,148.0,0.03746835443037975,0.5691824225431287,0.0033663278974442323,0.5691923772289803,0.012618832743629502,3.949415894488054,0.03251522590327235,3.949549739850154,0.042103605384123076
431.0,149.6,0.03787341772151898,0.5746884614222175,0.0034182814874578016,0.5746986274041057,0.012740904740346594,4.000704255130684,0.03324492198147478,4.000842381531459,0.042650403193166715
432.0,151.2,0.038278481012658225,0.580251386728314,0.0034710916077683985,0.5802617687536212,0.012864237998181958,4.052863052342794,0.033995149943356937,4.053005624381123,0.04320648192040456
433.0,152.8,0.038683544303797474,0.5858719269274416,0.0035247743914546357,0.5858825298608793,0.012988848669620821,4.105913835779912,0.03476666346956105,4.106061025817531,0.04377207137558623
434.0,154.4,0.03908860759493671,0.591550822564694,0.003579346330439363,0.5915616513915682,0.01311475317501036,4.159878909840368,0.0355602518085947,4.1600308984481575,0.044347409419045705
435.0,156.0,0.03949367088607595,0.5972888265157285,0.0036348242849166233,0.5972998863453083,0.013241968208137488,4.214781368661849,0.0363767418635979,4.2149383450968365,0.044932742335104504
436.0,157.6,0.039898734177215185,0.6030867042446235,0.0036912254930673524,0.6030980003136163,0.013370510741947892,4.270645133157122,0.03721700042664632,4.270807295872687,0.04552832522723961
437.0,159.2,0.04030379746835443,0.6089452340682887,0.0037485675810740734,0.6089567717444259,0.013500398034410348,4.327494990232829,0.03808193657285546,4.327662547424807,0.04613442243655247
438.0,160.8,0.040708860759493676,0.6148652074276286,0.003806868573445096,0.6148769922133664,0.013631647634530905,4.385356634347113,0.03897250422772539,4.3855298045387885,0.04675130798520265
439.0,162.4,0.04111392405063291,0.6208474291656586,0.003866146903659268,0.620859466701997,0.01376427738852125,4.444256711575012,0.03988970492247117,4.44443572424423,0.04737926604660964
440.0,164.0,0.04151898734177215,0.6268927178127885,0.003926421425142683,0.6269050138832137,0.013898305446126115,4.504222866364875,0.0408345907535312,4.504407962616866,0.04801859144438013
441.0,165.60000000000002,0.0419240506329114,0.6330019058794925,0.0039877114225892974,0.6330144664140462,0.014033750267114476,4.565283791184912,0.041808267564056575,4.565475224474708,0.04866959018208664
442.0,167.2,0.04232911392405063,0.6391758401565851,0.004050036623637776,0.6391886712360673,0.01417063062793957,4.627469279276278,0.04281189836697495,4.627667316185067,0.04933258000620908
443.0,168.8,0.04273417721518988,0.645415382023351,0.004113417210917573,0.645428489883658,0.01430896562857302,4.690810280748336,0.04384670703122209,4.691015201818447,0.05000789100475536
444.0,170.4,0.04313924050632911,0.6517214077637552,0.004177873834477554,0.6517347988003614,0.014448774699518338,4.755338962272622,0.044913982254959496,4.7555510629063855,0.050695866244301085
445.0,172.0,0.043544303797468355,0.6580948088909992,0.00424342762461126,0.6581084896635859,0.01459007760900947,4.821088770655493,0.04601508185208957,4.821308362083714,0.05139686244843877
446.0,173.60000000000002,0.043949367088607603,0.6645364924806725,0.004310100205093284,0.6645504697179085,0.014732894470400063,4.888094500594952,0.04715143738116473,4.888321910921347,0.052111250720899525
447.0,175.2,0.04435443037974683,0.6710473815127781,0.004377913706841975,0.6710616621172607,0.014877245749749616,4.956392366955653,0.04832455914891017,4.956627942284269,0.05283941731691488
448.0,176.8,0.04475949367088608,0.6776284152229068,0.004446890782024299,0.6776430062762661,0.015023152273612533,5.026020081927539,0.049536041624083635,5.02626418758094,0.05358176446672297
449.0,178.4,0.045164556962025315,0.6842805494628531,0.004517054618619278,0.6842954582310273,0.015170635237036684,5.097016937468405,0.050787569301333095,5.09726995930521,0.054338711255494686
450.0,180.0,0.04556962025316456,0.6910047570709699,0.004588428955457207,0.691019991009659,0.015319716211777972,5.16942389346951,0.052080923059145995,5.169686239310869,0.05511069456437185
451.0,185.4,0.04693670886075949,0.697802028252576,0.004661038097752541,0.6978175950128784,0.01547041715473797,5.243283672126385,0.053417987060979374,5.243555773302005,0.05589817007776793
452.0,190.8,0.048303797468354434,0.7046733709707438,0.004734906933149156,0.704689278404984,0.015622760416631786,5.318640859045033,0.05480075625430312,5.318923172070576,0.05670161336259669
453.0,196.2,0.04967088607594936,0.7116198113477938,0.004810060948297359,0.7116360675155498,0.015776768750893486,5.395542011667153,0.056231344528666245,5.395835020066193,0.05752152102566462
454.0,201.6,0.051037974683544304,0.7186423940778517,0.004886526245983091,0.718659007252187,0.01593246532282696,5.474035775657934,0.057711993601127096,5.474339991943173,0.05835841195610406
455.0,207.0,0.05240506329113924,0.7257421828508263,0.004964329562830358,0.7257591615247379,0.016089873719010106,5.5541730099666236,0.05924508270558888,5.554488977796832,0.059212828660436576
456.0,212.4,0.05377215189873418,0.7329202607881827,0.00504349828759914,0.7329376136812702,0.01624901795696076,5.636006921345231,0.060833139171909065,5.636335217876316,0.0600853386986597
457.0,217.8,0.05513924050632912,0.7401777308909012,0.005124060480101805,0.7401954669562677,0.016409922495072927,5.719593209194617,0.06247884999127134,5.719934447645481,0.06097653623064751
458.0,223.2,0.056506329113924045,0.7475157165000251,0.005206044890762091,0.747533844931419,0.016572612242832352,5.80499022170179,0.06418507447643088,5.805345054158189,0.061887043683166935
459.0,228.6,0.05787341772151899,0.7549353617702195,0.005289480980841922,0.7549538920094252,0.01673711257132068,5.892259124338724,0.06595485813930084,5.892628244821246,0.06281751354895067
460.0,234.0,0.05924050632911392,0.76243783215677,0.00537439894336225,0.7624567739012602,0.016903449324017883,5.981464081912893,0.06779144792422481,5.981848229738508,0.06376863033055023
461.0,239.4,0.060607594936708864,0.7700243149164877,0.005460829724745473,0.7700436781273442,0.017071648827913167,6.072672455495623,0.06969830895350845,6.073072418966056,0.06474111264314646
462.0,244.8,0.0619746835443038,0.7776960196229737,0.005548805047208073,0.7777158145330907,0.017241737904934447,6.165955015707704,0.07167914296275105,6.166371636162296,0.06573571549213529
463.0,250.2,0.06334177215189873,0.785454178696746,0.005638357431933491,0.7854744158193252,0.017413743883707623,6.261386174016222,0.07373790862769797,6.261820350291941,0.06675323274317492
464.0,255.60000000000002,0.06470886075949368,0.7933000479507337,0.005729520223056691,0.7933207380880842,0.017587694611656768,6.359044233894548,0.07587884401227882,6.359496927241662,0.06779449980449796
465.0,261.0,0.0660759493670886,0.8012349071516607,0.005822327612493039,0.8012560614043163,0.017763618467456884,6.459011663923007,0.07810649139985712,6.459483903431623,0.06886039654370793
