case_id,case_name,profile,I1_width_nm,I2_width_nm,I3_width_nm,I4_width_nm,nominal_grade_width_nm,E1_HH1_eV,E1_HH2_eV,E2_HH1_eV,E2_HH2_eV,z_e12_nm,z_hh12_nm,delta_z_e_nm,delta_z_hh_nm,O11,O12,O21,O22,chi2_1550_pm_per_V,chi2_1550_relative_to_abrupt,peak_chi2_pm_per_V,peak_chi2_relative_to_abrupt,peak_wavelength_nm,grading_validation_pass,solver_pass,physical_valid,E1_eV,E2_eV,HH1_eV,HH2_eV,z_e11_nm,z_e21_nm,z_e22_nm,z_hh11_nm,z_hh21_nm,z_hh22_nm,electron_E1_centroid_nm,electron_E2_centroid_nm,HH1_centroid_nm,HH2_centroid_nm,solver_return_code,failure_stage,failure_reason,spectrum_path
00,Abrupt reference,abrupt,0.0,0.0,0.0,0.0,0.0,1.489425271247,1.522482524727,1.5992889999930002,1.6323462534730002,1.0340924360961732,1.4510169471957455,6.024525405601381,0.31548994468621494,0.9825659268894466,0.024432908041949086,-0.08804807050423832,0.45711354825954503,31.036041396587407,,63.63186706362127,,1517.0,True,True,False,2.937946127708,3.047809856454,1.448520856461,1.415463602981,12.734585435956998,1.0340924360961732,18.75911084155838,12.65154699565089,1.451016947195746,12.967036940337104,12.734585435957001,18.759110841558375,12.651546995650884,12.967036940337103,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_00\optical\parsed\chi2_focused.csv
01,Linear 0.2 nm,linear,0.2,0.2,0.2,0.2,0.2,1.4898508909530002,1.5230144566700001,1.600957110816,1.6341206765329999,1.027592324620191,1.4515770223026148,6.023122326020657,0.28579426462831137,0.982808332696609,0.023264212821205665,-0.0867884768512181,0.449551072710973,29.373821276653924,,61.69603163330611,,1515.0,True,True,False,2.938334678577,3.04944089844,1.448483787624,1.415320221907,12.73232583105951,1.0275923246201912,18.755448157080167,12.651547185866907,1.4515770223026148,12.937341450495218,12.732325831059509,18.755448157080163,12.651547185866907,12.937341450495213,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_01\optical\parsed\chi2_focused.csv
02,Linear 0.4 nm,linear,0.4,0.4,0.4,0.4,0.4,1.4904580877009999,1.523887879547,1.603185870289,1.636615662135,1.023301617383508,1.451507289025495,6.0141609774876414,0.22641619605391838,0.9828710129320521,0.021318580031872564,-0.08574453243677284,0.43254748107824303,26.442974692208633,,57.46792652872555,,1513.0,True,True,False,2.93884767937,3.051575461958,1.448389591669,1.414959799823,12.730275987151494,1.023301617383508,18.744436964639135,12.651593755116405,1.451507289025495,12.878009951170323,12.730275987151487,18.74443696463914,12.651593755116405,12.878009951170313,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_02\optical\parsed\chi2_focused.csv
03,Linear 0.7 nm,linear,0.7,0.7,0.7,0.7,0.7,1.4917156855780003,1.5258059934380002,1.607614964272,1.6417052721319998,1.021095512463201,-1.44587524326336,5.986084467636241,0.13713202344132824,0.9827021556530312,-0.018062291616358306,-0.08445294859645953,-0.4035525571968933,21.681632420366405,,50.27752063149327,,1508.0,True,True,False,2.939865447993,3.055764726687,1.448149762415,1.414059454555,12.727133348090563,1.021095512463201,18.713217815726804,12.651446220603711,-1.44587524326336,12.78857824404504,12.727133348090566,18.71321781572679,12.651446220603706,12.788578244045034,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_03\optical\parsed\chi2_focused.csv
04,Linear 1.0 nm,linear,1.0,1.0,1.0,1.0,1.0,1.4933526957039998,1.5283667159019998,1.613217415774,1.648231435972,1.0251735847808658,1.4323684065114455,5.936663003241108,0.07875320177365097,0.9822755287674644,0.01540332812208936,-0.08353004083929513,0.3831404861807044,18.047520507860785,,45.106579094356555,,1502.0,True,True,False,2.941158138088,3.061022858158,1.447805442384,1.412791422186,12.72452731946466,1.0251735847808656,18.661190322705767,12.65139233424412,1.4323684065114457,12.73014553601777,12.724527319464652,18.661190322705764,12.651392334244115,12.730145536017774,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_04\optical\parsed\chi2_focused.csv
05,Linear 1.4 nm,linear,1.4,1.4,1.4,1.4,1.4,1.496063697166,1.5326495694359998,1.6222054939820003,1.6587913662520002,1.0421177193222815,1.4057031355971725,5.831160095539843,0.04023036914890632,0.981385339271678,0.013128228734621578,-0.08293368504199666,0.3750084695568423,15.232022782516708,,42.33475116167571,,1493.0,True,True,False,2.943267326858,3.069409123674,1.447203629692,1.410617757422,12.722044307937406,1.042117719322282,18.55320440347725,12.65136670867156,1.4057031355971725,12.691597077820466,12.72204430793741,18.55320440347725,12.651366708671553,12.691597077820466,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_05\optical\parsed\chi2_focused.csv
06,Asymmetric inner grading A,linear,0.0,0.4,0.8,0.0,,1.4899710261439998,1.5232530870499998,1.6040955074669998,1.6373775683729999,1.0285808757769614,-1.463023148346848,6.022055973273073,0.1334143606661513,0.9829633195922542,-0.01671847345858224,-0.08360974357342907,-0.40167075855528395,22.746444471321382,,50.1714012473189,,1512.0,True,True,False,2.938426908999,3.052551390322,1.448455882855,1.415173821949,12.711911549750166,1.0285808757769614,18.73396752302324,12.640171607529336,-1.463023148346848,12.773585968195487,12.711911549750162,18.733967523023228,12.640171607529334,12.773585968195484,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_06\optical\parsed\chi2_focused.csv
07,Asymmetric inner grading B,linear,0.0,0.8,0.4,0.0,,1.4908379265299998,1.5245103548649999,1.60154327481,1.635215703145,1.001671038673172,-1.432383917034983,6.117669435243307,0.38431877571383843,0.9826341293096865,-0.02427807579023336,-0.0856362403781392,-0.4651331947563153,31.03331049550273,,65.8620782896035,,1514.0,True,True,False,2.939124514209,3.049829862489,1.448286587679,1.414614159344,12.687297149823024,1.0016710386731724,18.80496658506633,12.611127542917304,-1.4323839170349832,12.995446318631142,12.687297149823024,18.804966585066335,12.611127542917309,12.995446318631142,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_07\optical\parsed\chi2_focused.csv
08,Inner interfaces graded only,linear,0.0,0.7,0.7,0.0,0.7,1.490596615698,1.524177350387,1.60350353574,1.637084270429,1.0116274312565152,1.451580319068399,6.0797927658391675,0.19707772671910995,0.9828064142214035,0.0190133644670675,-0.08419135167643521,0.41626330910708464,24.64599847559191,,53.896911941883246,,1512.0,True,True,False,2.938933985162,3.051840905204,1.448337369464,1.414756634775,12.693023757845934,1.0116274312565152,18.7728165236851,12.619761037441814,1.451580319068399,12.816838764160924,12.693023757845934,18.7728165236851,12.619761037441812,12.816838764160918,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_08\optical\parsed\chi2_focused.csv
09,Outer interfaces graded only,linear,0.7,0.0,0.0,0.7,0.7,1.490519152075,1.524086011608,1.60331821685,1.6368850763829998,1.0420382012650342,-1.4499171747935087,5.93395821668471,0.20684034209991253,0.9824699083419708,-0.0224640140037064,-0.08824384407278142,-0.4328429902644318,26.14986173795292,,57.08950370693698,,1513.0,True,True,False,2.938856808673,3.051655873448,1.448337656598,1.414770797065,12.768528680286318,1.0420382012650342,18.702486896971028,12.683229788709236,-1.4499171747935091,12.890070130809148,12.768528680286327,18.702486896971017,12.683229788709234,12.890070130809153,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_09\optical\parsed\chi2_focused.csv
10,Fermi-like 0.7 nm,fermi,0.7,0.7,0.7,0.7,0.7,1.4905050347450002,1.5239566624220002,1.6033349925780003,1.6367866202550003,1.0236225438392654,1.4514318589133284,6.012644816173339,0.2223988536546102,0.9828606339748297,0.021201850570471636,-0.08573855009064071,0.43143625475656944,26.25415335507906,,57.1811892732227,,1513.0,True,True,False,2.938886199854,3.051716157687,1.448381165109,1.414929537432,12.730208442894117,1.0236225438392654,18.742853259067456,12.65155703661539,1.4514318589133293,12.87395589027,12.730208442894117,18.742853259067452,12.651557036615388,12.873955890269999,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_10\optical\parsed\chi2_focused.csv
11,erf 0.7 nm,erf,0.7,0.7,0.7,0.7,0.7,1.4909207112469998,1.524579049746,1.6048198808190002,1.6384782193180003,1.022124532905826,-1.4502365629559333,6.004494302069611,0.18823399272260488,0.9828371684677095,-0.020013009472493598,-0.08521512852050882,-0.4207903475861618,24.492140650394717,,54.542236709164115,,1511.0,True,True,False,2.939227443107,3.053126612679,1.44830673186,1.414648393361,12.729051794113568,1.022124532905826,18.73354609618318,12.651540934791637,-1.4502365629559333,12.839774927514242,12.729051794113564,18.733546096183172,12.651540934791633,12.839774927514238,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_11\optical\parsed\chi2_focused.csv
12,Cosine 0.7 nm,cosine,0.7,0.7,0.7,0.7,0.7,1.4909716095380001,1.524656955824,1.6050052512460002,1.638690597532,1.021886594328504,-1.4500268666368563,6.003523875339184,0.18430359304835342,0.9828329843823862,-0.019869488537373414,-0.0851475285493625,-0.4194961297004569,24.282017923492297,,54.23105984594183,,1511.0,True,True,False,2.939268774821,3.053302416529,1.448297165283,1.414611818997,12.7289152399477,1.021886594328504,18.732439115286883,12.651549767731847,-1.450026866636857,12.8358533607802,12.728915239947703,18.73243911528688,12.65154976773184,12.835853360780204,0,physical_validation,Demo 11/14 physical QC did not pass,C:\nn_results\19_quantum_well_interface_grading_showcase\demo19_20260814T150258Z_38f64513_ba3c80\cases\case_12\optical\parsed\chi2_focused.csv
