k_per_nm,state_1_eV,state_2_eV
0,1.4478054423840001,1.4127914221860003
0.0018523814641067001,1.4478046508194999,1.41279217134415
0.0037047629282133,1.4478022760224503,1.4127943541289998
0.0055571443923200002,1.4477983184351506,1.4127979889192996
0.0074095258564266997,1.4477927786683,1.4128030705826502
0.0092619073205332993,1.4477856575771002,1.4128095919586503
0.01111428878464,1.4477769562612,1.4128175438835502
0.012966670248747,1.4477666760655501,1.4128269152219497
0.014819051712853,1.4477548185804003,1.4128376929044002
0.016671433176960002,1.4477413856417003,1.4128498619717496
0.018523814641067001,1.4477263793318504,1.412863405625
0.020376196105173001,1.4477098019836505,1.4128783072564497
0.022228577569280001,1.4476916561719999,1.4128945447847503
0.024080959033387001,1.4476719447213002,1.4129120960221497
0.025933340497493001,1.4476506707056005,1.41293093740755
0.0277857219616,1.4476278374483502,1.4129510438607502
0.029638103425707,1.4476034485237503,1.4129723888576002
0.031490484889813,1.4475775077575503,1.4129949445073002
0.033342866353920003,1.447550019228,1.4130186816319501
0.035195247818026999,1.4475209872672001,1.4130435698472503
0.037047629282133003,1.4474904164617504,1.4130695776440998
0.038900010746239999,1.4474583116547002,1.4130966724708003
0.040752392210347002,1.4474246779461504,1.41312482081505
0.042604773674452999,1.4473895206949503,1.4131539882852504
0.044457155138560002,1.4473528455201501,1.4131841396912499
0.046309536602666998,1.4473146583024004,1.4132152391234998
0.048161918066773002,1.4472749651856003,1.4132472500305502
0.050014299530879998,1.4472337725783004,1.4132801352949
0.051866680994987001,1.4471910871558504,1.413313857306
0.053719062459092998,1.4471469158616503,1.4133483780312002
0.055571443923200001,1.4471012659093503,1.4133836590838502
