x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
7.1142317671146      0                    0                    0                    0                    0                    0
7.260978922993       5.2706269410409e-05  2.2698737342902e-05  0.00030524653578009  0.0011981121279733   0.00095986640034536  0.0056725158249981
7.4003918486039      0.00020509342031652  8.7694581101203e-05  0.0011746798796982   0.0045376137891814   0.0035975006439503   0.020989888598218
7.532837099151       0.00045460728179436  0.00019227001094991  0.0025601227761872   0.0096500617819628   0.0075283143441086   0.043061054539509
7.6586629098899      0.00080455535220192  0.00033555793432692  0.0044338998857666   0.016192773513811    0.012369787241295    0.068932338609916
7.7782001117354      0.0012621836096668   0.00051788302267094  0.0067815859259765   0.023854753105703    0.017769109130547    0.095938373243905
7.891763001107       0.0018373791869773   0.00074030709238688  0.0095969508015047   0.032359532379981    0.023419482003712    0.1219003097363
7.9996501663019      0.0025417379666162   0.0010043056131663   0.012878382753569    0.041465758008136    0.029067588741997    0.14520198102155
8.1021452725658      0.0033878484573268   0.0013115309978587   0.01662633053932     0.050966203619532    0.03451468728704     0.16477986091618
8.1995178079279      0.0043887082900578   0.0016636355330834   0.020841467616777    0.060685743842067    0.03961347695028     0.18005992642401
8.2920237917592      0.0055572276779307   0.0020621372240119   0.025523382887702    0.070478702592097    0.044262464021072    0.19086806102639
8.3799064479186      0.0069057964576245   0.0025083181299791   0.03066966657488     0.080225882818276    0.048399125085722    0.19733321496073
8.4633968442558      0.0084459042005257   0.0030031485562772   0.036275300323742    0.089831499142368    0.051992781956175    0.19979573528198
8.5427145001525      0.010187810009659    0.0035472327092875   0.042332286360526    0.099220166811644    0.055037785074869    0.19872779793513
8.6180679636999      0.012140262180661    0.0041407727133166   0.048829467005193    0.10833404778858     0.057547357231575    0.19466887372382
8.6896553600291      0.014256460502421    0.0047674904627866   0.055578510704543    0.11689571681499     0.059484037742461    0.18825095905685
8.7576649122373      0.016500670816531    0.0054154189745032   0.062444673749238    0.12474880766005     0.060855973653738    0.18003672161175
8.8222754362784      0.01884917498869     0.0060768337165222   0.069343486315997    0.13183171945842     0.061701332588347    0.17051081473785
8.8836568111193      0.021277964577181    0.0067444981783816   0.076199401405712    0.13811609252622     0.062070182904565    0.16011439672023
8.9419704253995      0.02376346482571     0.0074118072107935   0.082946671318722    0.14360043833445     0.062018962938146    0.14923029250901
8.9973696017656      0.026283112678384    0.0080728752156746   0.089529614100884    0.14830407736736     0.061606222220784    0.13817735651407
9.05                 0.028815797692469    0.0087225797168959   0.095902430780387    0.15226170729078     0.060889527813318    0.12721116577326
9.1                  0.031342178595181    0.0093565699547005   0.10202870738271     0.15551874634244     0.05992335955372     0.11652867024813
