x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
7.1142317671146      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088
7.260978922993       2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9412108443577      3.0610455568954      3.1265786851782      3.3921238496984      3.563905716122       3.7779037482338
7.4003918486039      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9413632315086      3.0611105527392      3.1274481185221      3.3954633513596      3.5665433503656      3.793221121007
7.532837099151       2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9416127453701      3.061215128169       3.1288335614186      3.4005757993524      3.5704741640657      3.8152922869483
7.6586629098899      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9419626934405      3.0613584160924      3.1307073385282      3.4071185110842      3.5753156369629      3.8411635710187
7.7782001117354      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.942420321698       3.0615407411807      3.1330550245684      3.4147804906761      3.5807149588522      3.8681696056527
7.891763001107       2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9429955172753      3.0617631652504      3.1358703894439      3.4232852699504      3.5863653317253      3.8941315421451
7.9996501663019      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9436998760549      3.0620271637712      3.139151821396       3.4323914955785      3.5920134384636      3.9174332134304
8.1021452725658      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9445459865457      3.0623343891559      3.1428997691817      3.4418919411899      3.5974605370087      3.937011093325
8.1995178079279      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9455468463784      3.0626864936911      3.1471149062592      3.4516114814125      3.6025593266719      3.9522911588328
8.2920237917592      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9467153657663      3.0630849953821      3.1517968215301      3.4614044401625      3.6072083137427      3.9630992934352
8.3799064479186      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.948063934546       3.063531176288       3.1569431052173      3.4711516203887      3.6113449748074      3.9695644473696
8.4633968442558      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9496040422889      3.0640260067143      3.1625487389661      3.4807572367128      3.6149386316778      3.9720269676908
8.5427145001525      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.951345948098       3.0645700908673      3.1686057250029      3.490145904382       3.6179836347965      3.970959030344
8.6180679636999      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.953298400269       3.0651636308714      3.1751029056476      3.499259785359       3.6204932069532      3.9669001061326
8.6896553600291      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9554145985908      3.0657903486208      3.1818519493469      3.5078214543854      3.6224298874641      3.9604821914657
8.7576649122373      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9576588089049      3.0664382771326      3.1887181123916      3.5156745452305      3.6238018233754      3.9522679540206
8.8222754362784      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.960007313077       3.0670996918746      3.1956169249584      3.5227574570288      3.62464718231        3.9427420471467
8.8836568111193      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9624361026655      3.0677673563364      3.2024728400481      3.5290418300966      3.6250160326262      3.9323456291291
8.9419704253995      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.964921602914       3.0684346653688      3.2092201099611      3.5345261759049      3.6249648126598      3.9214615249178
8.9973696017656      2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9674412507667      3.0690957333737      3.2158030527433      3.5392298149378      3.6245520719424      3.9104085889229
9.05                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9699739357808      3.0697454378749      3.2221758694228      3.5431874448612      3.6238353775349      3.8994423981821
9.1                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9725003166835      3.0703794281128      3.2283021460251      3.5464444839128      3.6228692092753      3.888759902657
9.15                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9751372360921      3.0710267032492      3.2344620441247      3.5491765185981      3.6216356384933      3.8779652903447
9.2                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9778764779811      3.0716839247383      3.2406170822553      3.5513539977293      3.6201484893528      3.8671995839558
9.25                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9807079704839      3.0723473906191      3.2467261699143      3.5529522987635      3.6184244826439      3.856598037516
9.3                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9836196939895      3.0730130420991      3.2527458247343      3.5539520370563      3.6164829368813      3.8462877490653
9.35                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.986597611635       3.0736764769722      3.2586304538899      3.5543393417634      3.6143454451354      3.8363855613828
9.4                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9896256290456      3.0743329710731      3.2643327081893      3.5541060979361      3.6120355325278      3.8269962730058
9.45                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9926855906967      3.0749775089598      3.2698039164671      3.5532501525931      3.6095782985886      3.8182111735769
9.5                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9957573205735      3.075604824926       3.274994606429       3.5517754805801      3.6070000480328      3.8101069106415
9.55                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      2.9988187148032      3.0762094552919      3.2798551159441      3.5496923040234      3.6043279130358      3.8027446893727
9.6                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0018458935647      3.0767858026732      3.2843362958979      3.5470171572795      3.6015894698153      3.7961698021724
9.65                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0048700456952      3.077338873735       3.2884727965803      3.5437283416965      3.5987678808553      3.7903202013341
9.7                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0079338789697      3.0778753907983      3.2923102821071      3.5397990596197      3.5958474173877      3.7851687567863
9.75                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0110342142493      3.0783936665435      3.2958322824756      3.5352644468258      3.592863017266       3.7807960223324
9.8                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0141678345194      3.078892071019       3.2990236817054      3.53016505198        3.5898503832253      3.7772703749858
9.85                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0173314882277      3.0793690367675      3.3018707827148      3.5245464740484      3.5868455557666      3.774646945749
9.9                  2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0205218926583      3.0798230637552      3.304361366106       3.5184589545499      3.5838844819998      3.7729667575238
9.95                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0237357373376      3.0802527240898      3.3064847426101      3.5119569282956      3.5810025856041      3.7722560836304
10                   2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0269696874698      3.0806566665108      3.3082317989636      3.50509853663        3.5782343430505      3.7725260369683
10.05                2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0302203873969      3.0810336206392      3.3095950370216      3.4979451075299      3.5756128711552      3.7737723962421
10.1                 2.9411581380883      3.0610228581581      3.1262734386424      3.3909257375704      3.5629458497216      3.7722312324088      3.0334844640808      3.0813824009731      3.3105686059386      3.4905606072069      3.5731695308999      3.775975671971
