x[nm]                Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
7.1142317671146      0                    0                    0                    0                    0                    0
7.260978922993       0.0072599083610201   -0.0047643191898636  0.01747130606967     0.034613756340122    0.030981710739489    0.075316106013243
7.4003918486039      0.014321083070652    -0.0093645384884255  0.034273603249413    0.067361812543766    0.059979168416628    0.14487887561069
7.532837099151       0.021321521563771    -0.013866146218395   0.050597655836878    0.09823472798335     0.086765859323288    0.20751157688069
7.6586629098899      0.028364684948046    -0.018318240481196   0.066587535513537    0.12725082912819     0.11121954523057     0.26254968788767
7.7782001117354      0.035527223500673    -0.022757043363999   0.082350385099139    0.15444984009608     0.1333008219425      0.30973920198113
7.891763001107       0.042864661283828    -0.027208584902322   0.097964028099628    0.1798875548224      0.15303425108031     0.34914224856969
7.9996501663019      0.050415652000309    -0.031690781201579   0.11348296239334     0.2036314268676      0.17049219554571     0.38105377707294
8.1021452725658      0.058205227061896    -0.036215065896098   0.12894312908922     0.22575695696818     0.18578128885073     0.40593085730969
8.1995178079279      0.06624732666348     -0.040787688498901   0.14436574253187     0.2463447662161      0.19903134665243     0.42433468680277
8.2920237917592      0.074546815343988    -0.045410761103641   0.15976039211176     0.26547825257843     0.21038646349295     0.43688449391846
8.3799064479186      0.083101121879458    -0.050083112223374   0.17512757228626     0.28324173918806     0.21999801154947     0.44422203340304
8.4633968442558      0.091901600641804    -0.054800990468031   0.19046075796274     0.29971903366715     0.22801925786252     0.44698516226155
8.5427145001525      0.10093468189705     -0.059558649323902   0.2057481138687      0.31499232817903     0.23460133221035     0.44578896120825
8.6180679636999      0.11018285792563     -0.064348836145781   0.22097390571104     0.32914137963583     0.2398903024959      0.44121295733899
8.6896553600291      0.11940042086367     -0.069047016320668   0.23575095059096     0.34190015620791     0.24389349672031     0.43387896821216
8.7576649122373      0.12845493690992     -0.073589530332128   0.24988932299968     0.35319797233287     0.24669003557853     0.42430734333942
8.8222754362784      0.1372922976306      -0.077954048750031   0.26333151409582     0.363086380161       0.24839752935234     0.41292955178559
8.8836568111193      0.14586968354384     -0.082124893780032   0.27604239059556     0.3716397348592      0.24913888276334     0.40014297034964
8.9419704253995      0.15415402954743     -0.086091853335804   0.28800463766877     0.37894648478968     0.24903606754473     0.38630336849297
8.9973696017656      0.16212067319865     -0.089849180383989   0.29921499645052     0.38510268418613     0.24820600762428     0.37172214961456
9.05                 0.16975216550156     -0.093394752084343   0.3096811760188      0.39020726196572     0.24675803495189     0.35666674329585
9.1                  0.17703722375586     -0.096729364490317   0.31941932844258     0.39435865191782     0.24479248263319     0.34136295968973
9.15                 0.18433420193718     -0.10001922360811    0.32892036343518     0.397807467285       0.2422597547503      0.32516773815355
9.2                  0.19162030135869     -0.10325244103793    0.33814736966721     0.40053496746092     0.23917073322462     0.30816935530155
9.25                 0.19887139662498     -0.10641678655646    0.34706300763972     0.40252523050494     0.2355390263252      0.29045964454147
9.3                  0.20606201955028     -0.10949969836066    0.35562956301735     0.40376515387774     0.23138082712198     0.27213327002856
9.35                 0.21316536666798     -0.1124883052328     0.36380903678647     0.40424448566796     0.22671478869669     0.25328704857126
9.4                  0.22015333510372     -0.11536946266278    0.37156327798498     0.40395588913358     0.22156191641654     0.23401931671751
9.45                 0.22699659162276     -0.11812980488327    0.37885416432271     0.40289504219173     0.21594547660679     0.21442933840324
9.5                  0.23366467958426     -0.12075581463423    0.38564383540594     0.40106077221505     0.20989092003027     0.1946167470508
9.55                 0.24012616832585     -0.12323391227182    0.39189498249113     0.39845522515461     0.20342581771782     0.17468101489239
9.6                  0.24634884914766     -0.12555056557062    0.39757119771871     0.3950840666353      0.19657980591524     0.15472094158051
9.65                 0.25241217800833     -0.12773415978868    0.40273981419511     0.39089973666675     0.18926708940974     0.13449523755599
9.7                  0.25841002473087     -0.12981730485659    0.4074761876045      0.38584105801388     0.18138789283207     0.11374323882073
9.75                 0.26434083332132     -0.13179836260524    0.41177523460397     0.37991934572403     0.17296579877051     0.092546150236475
9.8                  0.27020306517709     -0.13367577514624    0.41563234121401     0.37314784524319     0.16402601471607     0.070986918350691
9.85                 0.27599519948616     -0.13544806609696    0.41904336777041     0.36554170278914     0.15459529761592     0.049149906817548
9.9                  0.28171573362158     -0.13711384174156    0.42200465336722     0.35711793147295     0.14470187378939     0.027120566273642
9.95                 0.28736318353133     -0.13867179212704    0.42451301978585     0.34789537324483     0.13437535444603     0.0049850999602179
10                   0.29293608412326     -0.14012069209333    0.42656577490608     0.33789465674915     0.12364664705866     -0.017169873599628
10.05                0.29843298964526     -0.14145940223675    0.42816071559542     0.32713815118314     0.11254786285674     -0.03925765954879
10.1                 0.30385247406022     -0.14268686980606    0.42929613007364     0.31564991626239     0.10111222071679     -0.061191825942703
10.15                0.30919313141606     -0.14380212953031    0.42997079974993     0.30345564840507     0.089373947737696    -0.082886541967076
10.2                 0.31445357621046     -0.14480430437791    0.43018400053076     0.29058262325516     0.077368176798329    -0.10425691380335
10.25                0.31963244375025     -0.14569260624636    0.42993550359703     0.27705963467346     0.065130841404131    -0.12521931682756
10.3                 0.32472839050548     -0.14646633658198    0.42922557564967     0.26291693033264     0.052698568137456    -0.14569172284276
10.35                0.32974009445798     -0.14712488692924    0.42805497862336     0.24818614406041     0.040108567033495    -0.16559402106438
10.4                 0.33466625544427     -0.14766773940927    0.42642496886881     0.23290022508236     0.027398520209918    -0.18484833160256
10.45                0.33950559549293     -0.14809446712711    0.42433729580434     0.21709336432237     0.014606469083562    -0.2033793102148
10.5                 0.34425685915608     -0.14840473450739    0.42179420003835     0.2008009179258      0.0017707005117354   -0.22111444313626
10.55                0.34891881383508     -0.14859829755826    0.41879841096456     0.18405932817627     -0.011070367801091   -0.23798433083412
10.6                 0.35349025010035     -0.14867500406324    0.41535314383263     0.16690604198304     -0.023878302288219   -0.25392295957566
10.65                0.35796998200504     -0.14863479370093    0.41146209629742     0.1493794271213      -0.036614768553133   -0.26886795974723
10.7                 0.36235684739279     -0.14847769809245    0.40712944445046     0.13151868641266     -0.049241646105096   -0.28276084991347
10.75                0.36664970819914     -0.14820384077655    0.40235983833788     0.11336377003788     -0.061721142454512   -0.29554726566159
10.8                 0.37084745074683     -0.14781343711252    0.39715839696979     0.094955286177921    -0.074015906226589   -0.30717717233536
10.85                0.3749489860347      -0.14730679411074    0.39153070282622     0.07633441018323     -0.086089138954722   -0.31760506082619
10.9                 0.37895325002017     -0.14668431019135    0.3854827958657      0.057542792474357    -0.09790470521902    -0.32679012565534
10.95                0.38285920389534     -0.14594647487085    0.37902116704283     0.03862246538        -0.10942724080032    -0.33469642465025
11                   0.38666583435644     -0.1450938683772     0.37215275134185     0.019615749120796    -0.12062225852598    -0.34129301959023
11.05                0.39037215386673     -0.14412716119352    0.3648849203336      0.00056515714915967  -0.13145625149067    -0.3465540972711
11.1                 0.39397720091265     -0.14304711353083    0.35722547426392     -0.018486698943077   -0.14189679334314    -0.35045907051516
11.15                0.39748004025334     -0.14185457473021    0.34918263368202     -0.037497204736549   -0.15191263533901    -0.35299265873107
11.2                 0.40087976316317     -0.1405504825949     0.34076503061772     -0.056423838302563   -0.16147379986876    -0.35414494770845
11.25                0.40417548766758     -0.13913586265281    0.33198169931703     -0.075224265314424   -0.17055167018139    -0.35391142841336
11.3                 0.40736635877181     -0.13761182735008    0.32284206654614     -0.093856433739142   -0.17911907603485    -0.35229301463256
11.35                0.41045154868274     -0.13597957517621    0.31335594147404     -0.11227866789771    -0.18715037501713    -0.34929603939784
11.4                 0.41343025702366     -0.13424038972163    0.30353350514481     -0.13044976168359    -0.1946215292945     -0.34493223020409
11.45                0.41630171104187     -0.13239563866825    0.2933852995507      -0.14832907073083    -0.2015101775572     -0.3392186631184
11.5                 0.41906516580917     -0.13044677271396    0.28292221631791     -0.16587660332575    -0.20779570194727    -0.33217769595946
11.55                0.42171990441512     -0.12839532443179    0.27215548501706     -0.18305310985883    -0.2134592897682     -0.32383688080897
11.6                 0.42426523815301     -0.12624290706473    0.26109666111101     -0.19982017061654    -0.21848398979174    -0.31422885619732
11.65                0.42670050669853     -0.12399121325705    0.24975761355284     -0.21614028171713    -0.22285476299317    -0.30339121938539
11.7                 0.4290250782811      -0.12164201372326    0.23815051204745     -0.23197693899766    -0.22655852756348    -0.29136637924233
11.75                0.43123834984773     -0.11919715585562    0.22628781399037     -0.24729471966514    -0.22958419806341    -0.27820139029497
11.8                 0.43333974721949     -0.11665856227133    0.21418225109773     -0.26205936152875    -0.23192271860243    -0.26394776859828
11.85                0.43532872524046     -0.11402822930066    0.2018468157419      -0.27623783963609    -0.23356708994319    -0.24866129014733
11.9                 0.43720476791915     -0.111308225417      0.18929474700732     -0.28979844014212    -0.23451239045033    -0.23240177261969
