wavelength_nm,photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V
400,3.0996049599999997,0.39990822617691713,0.00076521429496660275,0.39990822617691713,0.39990895828536466
401,3.0918752718204487,0.40358365976623656,0.00077625075116366754,0.40358365976623656,0.4035844062839124
402,3.084184039800995,0.40729235895495941,0.00078744760990881219,0.40729235895495941,0.40729312016879665
403,3.0765309776674936,0.41103467344237288,0.00079880739870902728,0.41103467344237288,0.41103544964532968
404,3.0689158019801979,0.41481095756686426,0.00081033269053068686,0.41481095756686426,0.41481174905806151
405,3.0613382320987652,0.41862157038199477,0.00082202610474581706,0.41862157038199477,0.41862237746685765
406,3.0537979901477832,0.42246687573406927,0.00083389030810103893,0.42246687573406927,0.42246769872447226
407,3.0462948009828006,0.42634724234124177,0.00084592801570975091,0.42634724234124177,0.42634808155565718
408,3.0388283921568626,0.43026304387417968,0.00085814199206824329,0.43026304387417968,0.43026389963783018
409,3.0313984938875302,0.43421465903834211,0.0008705350520963192,0.43421465903834211,0.43421553168335725
410,3.0240048390243901,0.43820247165789206,0.00088311006220315224,0.43820247165789206,0.43820336152346856
411,3.0166471630170313,0.44222687076130585,0.00089586994137911624,0.44222687076130585,0.44222777819387216
412,3.009325203883495,0.4462882506686856,0.00090881766231417174,0.4462882506686856,0.4462891760220708
413,3.0020387021791763,0.45038701108083512,0.00092195625254369107,0.45038701108083512,0.45038795471644211
414,2.9947874009661835,0.45452355717014536,0.00093528879562238508,0.45452355717014536,0.45452451945712852
415,2.9875710457831324,0.45869829967332876,0.00094881843232719632,0.45869829967332876,0.45869928098877638
416,2.9803893846153846,0.46291165498602194,0.00096254836188986977,0.46291165498602194,0.46291265571514328
417,2.9732421678657071,0.46716404525934507,0.00097648184326017779,0.46716404525934507,0.46716506579566242
418,2.9661291483253587,0.47145589849843716,0.00099062219640044628,0.47145589849843716,0.47145693924398302
419,2.9590500811455844,0.47578764866300505,0.0010049728036126237,0.47578764866300505,0.4757887100285243
420,2.9520047238095235,0.48015973576997273,0.0010195371108983279,0.48015973576997273,0.48016081817513034
421,2.9449928361045128,0.48457260599823049,0.0010343186293533093,0.48457260599823049,0.48457370987182469
422,2.9380141800947865,0.48902671179559709,0.0010493209365969643,0.48902671179559709,0.48902783757577839
423,2.9310685200945623,0.49352251198798869,0.0010645476782380654,0.49352251198798869,0.49352366012248455
424,2.9241556226415093,0.49806047189087499,0.0010800025693776757,0.49806047189087499,0.49806164283722038
425,2.9172752564705879,0.50264106342309844,0.0010956893961504774,0.50264106342309844,0.50264225764887305
426,2.9104271924882625,0.50726476522307862,0.0011116120173053352,0.50726476522307862,0.50726598320615002
427,2.9036112037470723,0.51193206276748593,0.0011277743658265646,0.51193206276748593,0.51193330499625966
428,2.8968270654205606,0.51664344849242005,0.0011441804505968665,0.51664344849242005,0.51664471546609603
429,2.8900745547785545,0.52139942191721134,0.0011608343581032635,0.52139942191721134,0.52140071414604827
430,2.8833534511627903,0.5262004897708108,0.0011777402541872616,0.5262004897708108,0.52620180777639625
431,2.8766635359628769,0.53104716612096392,0.0011949023858405261,0.53104716612096392,0.53104851043649337
432,2.8700045925925926,0.53593997250612357,0.001212325083047455,0.53593997250612357,0.53594134367668578
433,2.8633764064665126,0.5408794380702322,0.0012300127606760616,0.5408794380702322,0.54088083665310382
434,2.8567787649769585,0.54586609970042899,0.0012479699204185906,0.54586609970042899,0.54586752626537605
435,2.8502114574712643,0.55090050216775377,0.0012662011527832502,0.55090050216775377,0.55090195729734215
436,2.8436742752293576,0.55598319827096909,0.001284711139138822,0.55598319827096909,0.55598468256088385
437,2.8371670114416472,0.5611147489834547,0.0013035046538135593,0.5611147489834547,0.5611162630428278
438,2.8306894611872142,0.56629572360344094,0.0013225865662500713,0.56629572360344094,0.56629726805518843
439,2.8242414214123004,0.5715266999075086,0.0013419618432179469,0.5715266999075086,0.57152827538867756
440,2.8178226909090909,0.57680826430747545,0.0013616355510857681,0.57680826430747545,0.57680987146960006
441,2.8114330702947843,0.58214101201087032,0.0013816128581544906,0.58214101201087032,0.58214265152033828
442,2.8050723619909501,0.58752554718490968,0.001401899037053911,0.58752554718490968,0.58752721972333977
443,2.7987403702031601,0.59296248312418198,0.0014224994672043193,0.59296248312418198,0.59296418938881112
444,2.7924369009009009,0.59845244242213824,0.0014434196373452018,0.59845244242213824,0.59845418312622078
445,2.7861617617977528,0.60399605714646509,0.0014646651481332496,0.60399605714646509,0.60399783301968246
446,2.7799147623318383,0.60959396901838336,0.0014862417148116917,0.60959396901838336,0.60959578080726629
447,2.7736957136465321,0.61524682959612997,0.0015081551699532747,0.61524682959612997,0.6152486780644929
448,2.7675044285714283,0.62095530046255676,0.0015304114662791804,0.62095530046255676,0.62095718639194453
449,2.7613407216035633,0.62672005341709358,0.0015530166795562385,0.62672005341709358,0.62672197760724146
450,2.7552044088888885,0.6325417706721348,0.001575977011575047,0.6325417706721348,0.63254373394144114
451,2.7490953082039908,0.63842114505395653,0.0015992987932114057,0.63842114505395653,0.63842314823997015
452,2.7430132389380528,0.64435888020833643,0.0016229884875737892,0.64435888020833643,0.64436092416825841
453,2.7369580220750551,0.65035569081092981,0.0016470526932397768,0.65035569081092981,0.650357776422129
454,2.7309294801762114,0.65641230278265916,0.0016714981475839732,0.65641230278265916,0.65641443094320429
455,2.7249274373626373,0.66252945351010206,0.0016963317302007563,0.66252945351010206,0.66253162513930852
